,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence
0,1.0,0.0,0.0,Total infected,0%,Vaccine Efficacy 50%,Low
1,2.0,0.09019999999998163,0.0003110344827585573,Total infected,0%,Vaccine Efficacy 50%,Low
2,3.0,0.44290000000000873,0.001527241379310375,Total infected,0%,Vaccine Efficacy 50%,Low
3,4.0,1.3888000000000034,0.004788965517241391,Total infected,0%,Vaccine Efficacy 50%,Low
4,5.0,3.0801999999999907,0.010621379310344795,Total infected,0%,Vaccine Efficacy 50%,Low
5,6.0,5.783600000000035,0.01994344827586219,Total infected,0%,Vaccine Efficacy 50%,Low
6,7.0,7.833700000000022,0.02701275862068973,Total infected,0%,Vaccine Efficacy 50%,Low
7,8.0,9.360700000000008,0.032278275862068995,Total infected,0%,Vaccine Efficacy 50%,Low
8,9.0,13.250499999999988,0.04569137931034479,Total infected,0%,Vaccine Efficacy 50%,Low
9,10.0,19.791600000000017,0.0682468965517242,Total infected,0%,Vaccine Efficacy 50%,Low
10,11.0,28.032100000000014,0.0966624137931035,Total infected,0%,Vaccine Efficacy 50%,Low
11,12.0,38.45889999999997,0.13261689655172404,Total infected,0%,Vaccine Efficacy 50%,Low
12,13.0,50.60919999999999,0.17451448275862064,Total infected,0%,Vaccine Efficacy 50%,Low
13,14.0,59.46289999999999,0.20504448275862067,Total infected,0%,Vaccine Efficacy 50%,Low
14,15.0,66.024,0.2276689655172414,Total infected,0%,Vaccine Efficacy 50%,Low
15,16.0,77.22449999999998,0.26629137931034474,Total infected,0%,Vaccine Efficacy 50%,Low
16,17.0,91.1583,0.3143389655172414,Total infected,0%,Vaccine Efficacy 50%,Low
17,18.0,106.15030000000002,0.36603551724137934,Total infected,0%,Vaccine Efficacy 50%,Low
18,19.0,121.45100000000002,0.418796551724138,Total infected,0%,Vaccine Efficacy 50%,Low
19,20.0,137.1944,0.4730841379310345,Total infected,0%,Vaccine Efficacy 50%,Low
20,21.0,148.3066,0.5114020689655172,Total infected,0%,Vaccine Efficacy 50%,Low
21,22.0,156.4028,0.53932,Total infected,0%,Vaccine Efficacy 50%,Low
22,23.0,167.0802,0.5761386206896552,Total infected,0%,Vaccine Efficacy 50%,Low
