day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457146	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457146	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457146	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
3	123457146	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
4	123457146	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
5	123457146	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
6	123457146	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
7	123457146	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
8	123457146	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
9	123457146	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
10	123457146	234	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	135	5	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	3
11	123457146	232	4	1	1	0	0	2	0	0	0	0	0	0	0	0	0	135	5	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
12	123457146	230	6	1	1	0	0	2	0	0	0	0	0	0	0	0	0	135	5	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
13	123457146	229	7	1	1	0	0	2	0	0	0	0	0	0	0	0	0	135	7	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	2
14	123457146	229	5	3	1	0	0	2	0	0	0	0	0	0	0	0	0	135	8	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	4
15	123457146	228	5	2	3	0	0	2	0	0	0	0	0	0	0	0	0	153	8	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	3
16	123457146	227	5	2	4	0	0	1	1	0	0	0	0	0	0	0	0	153	8	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	3
17	123457146	227	4	1	5	0	0	2	1	0	0	0	0	0	0	0	0	227	9	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	3
18	123457146	226	4	2	5	0	0	2	1	0	0	0	0	0	0	0	0	227	10	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	3
19	123457146	224	5	2	6	0	0	2	1	0	0	0	0	0	0	0	0	227	10	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	3
20	123457146	223	5	2	7	0	0	2	1	0	0	0	0	0	0	0	0	227	11	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	2
21	123457146	223	2	5	7	0	0	2	1	0	0	0	0	0	0	0	0	227	13	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	3
22	123457146	210	2	0	6	11	2	4	5	0	0	0	0	0	0	0	0	246	15	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	9	[3A]	1	2
23	123457146	210	1	1	6	11	2	4	5	0	0	0	0	0	0	0	0	246	16	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	9	[3A]	1	3
24	123457146	209	2	1	8	11	2	3	4	0	0	0	0	0	0	0	0	301	17	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	10	[3A]	1	2
25	123457146	207	4	1	8	11	2	3	4	0	0	0	0	0	0	0	0	301	17	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	11	[3A]	1	2
26	123457146	205	5	2	8	11	1	4	4	0	0	0	0	0	0	0	0	301	19	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	11	[3A]	1	3
27	123457146	205	5	1	9	11	1	2	6	0	0	0	0	0	0	0	0	301	20	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	11	[3A]	1	2
28	123457146	204	4	3	9	11	1	2	6	0	0	0	0	0	0	0	0	301	21	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A]	1	4
29	123457146	196	11	4	9	11	1	2	6	0	0	0	0	0	0	0	0	301	21	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A]	1	4
30	123457146	193	12	4	11	11	0	3	6	0	0	0	0	0	0	0	0	301	21	0	5	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A]	1	3
31	123457146	175	9	6	10	25	1	5	9	0	0	0	0	0	0	0	0	371	23	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A 2C]	2	4
32	123457146	170	9	10	11	25	1	4	10	0	0	0	0	0	0	0	0	371	24	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A 2C]	2	5
33	123457146	168	10	11	11	25	1	4	10	0	0	0	0	0	0	0	0	371	24	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A 2C]	2	5
34	123457146	168	6	11	15	25	1	4	10	0	0	0	0	0	0	0	0	371	25	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A 2C]	2	5
35	123457146	168	3	13	16	25	1	3	11	0	0	0	0	0	0	0	0	371	26	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[3A 2C]	2	5
36	123457146	175	6	14	25	14	1	1	4	0	0	0	0	0	0	0	0	371	27	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[2C]	1	5
37	123457146	173	5	13	29	14	1	1	4	0	0	0	0	0	0	0	0	371	28	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	12	[2C]	1	4
38	123457146	160	1	1	18	26	4	14	16	0	0	0	0	0	0	0	0	441	28	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	4
39	123457146	160	1	0	19	26	4	10	20	0	0	0	0	0	0	0	0	441	28	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	2
40	123457146	160	1	0	19	26	4	10	20	0	0	0	0	0	0	0	0	441	28	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	2
41	123457146	160	1	0	19	26	3	9	22	0	0	0	0	0	0	0	0	441	29	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	2
42	123457146	160	0	1	19	26	2	9	23	0	0	0	0	0	0	0	0	441	29	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	3
43	123457146	160	0	1	19	26	1	10	23	0	0	0	0	0	0	0	0	441	29	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	4
44	123457146	160	0	1	19	26	1	9	24	0	0	0	0	0	0	0	0	441	29	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2C 2A 3C]	3	4
45	123457146	174	0	1	25	12	0	8	20	0	0	0	0	0	0	0	0	491	29	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2A 3C]	2	3
46	123457146	174	0	1	25	12	0	7	21	0	0	0	0	0	0	0	0	491	29	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2A 3C]	2	3
47	123457146	174	0	1	25	12	0	6	22	0	0	0	0	0	0	0	0	491	30	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2A 3C]	2	3
48	123457146	174	0	1	25	12	0	5	23	0	0	0	0	0	0	0	0	491	30	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2A 3C]	2	3
49	123457146	174	0	1	25	12	0	5	23	0	0	0	0	0	0	0	0	491	30	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2A 3C]	2	3
50	123457146	173	1	1	25	12	0	3	25	0	0	0	0	0	0	0	0	491	31	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	13	[2A 3C]	2	3
51	123457146	172	1	2	25	12	0	2	26	0	0	0	0	0	0	0	0	491	32	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[2A 3C]	2	2
52	123457146	183	2	2	53	0	0	0	0	0	0	0	0	0	0	0	0	551	32	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	1
53	123457146	183	0	4	53	0	0	0	0	0	0	0	0	0	0	0	0	551	33	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	2
54	123457146	179	4	4	53	0	0	0	0	0	0	0	0	0	0	0	0	551	33	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	2
55	123457146	179	3	4	54	0	0	0	0	0	0	0	0	0	0	0	0	551	34	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	2
56	123457146	179	3	2	56	0	0	0	0	0	0	0	0	0	0	0	0	551	34	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	1
57	123457146	179	2	3	56	0	0	0	0	0	0	0	0	0	0	0	0	551	34	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	2
58	123457146	176	3	4	57	0	0	0	0	0	0	0	0	0	0	0	0	551	34	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	14	[]	0	2
59	123457146	173	5	3	59	0	0	0	0	0	0	0	0	0	0	0	0	611	34	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	2
60	123457146	171	7	3	59	0	0	0	0	0	0	0	0	0	0	0	0	611	35	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	2
61	123457146	171	7	2	60	0	0	0	0	0	0	0	0	0	0	0	0	611	36	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	2
62	123457146	171	6	3	60	0	0	0	0	0	0	0	0	0	0	0	0	611	37	0	16	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	15	[]	0	2
