day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457166	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457166	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
4	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
5	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
6	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
7	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
8	123457166	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	6	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
9	123457166	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	6	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
10	123457166	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	6	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
11	123457166	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	480	7	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
12	123457166	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	480	9	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
13	123457166	233	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	480	9	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	3
14	123457166	233	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	480	10	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	3
15	123457166	226	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	480	10	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	3
16	123457166	221	11	7	1	0	0	0	0	0	0	0	0	0	0	0	0	480	10	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
17	123457166	179	1	0	0	42	6	11	1	0	0	0	0	0	0	0	0	720	11	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[1A 2D 3C]	3	3
18	123457166	179	1	0	0	42	3	11	4	0	0	0	0	0	0	0	0	720	12	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[1A 2D 3C]	3	3
19	123457166	177	2	1	0	42	2	12	4	0	0	0	0	0	0	0	0	720	12	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[1A 2D 3C]	3	4
20	123457166	177	1	2	0	42	2	12	4	0	0	0	0	0	0	0	0	720	15	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[1A 2D 3C]	3	4
21	123457166	177	1	2	0	42	2	12	4	0	0	0	0	0	0	0	0	720	15	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[1A 2D 3C]	3	4
22	123457166	176	2	1	1	42	2	11	5	0	0	0	0	0	0	0	0	720	15	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[1A 2D 3C]	3	4
23	123457166	172	6	1	1	42	2	10	6	0	0	0	0	0	0	0	0	720	15	0	11	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 2D 3C]	3	4
24	123457166	139	1	0	0	75	5	13	7	0	0	0	0	0	0	0	0	900	15	0	14	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 2D 3C 2A 3A]	5	5
25	123457166	138	2	0	0	75	4	12	9	0	0	0	0	0	0	0	0	900	16	0	14	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	5	[1A 2D 3C 2A 3A]	5	4
26	123457166	138	2	0	0	75	4	11	10	0	0	0	0	0	0	0	0	900	16	0	14	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	5	[1A 2D 3C 2A 3A]	5	4
27	123457166	137	3	0	0	75	2	12	11	0	0	0	0	0	0	0	0	900	16	0	14	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3C 2A 3A]	5	5
28	123457166	137	2	1	0	75	2	11	12	0	0	0	0	0	0	0	0	900	17	0	14	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3C 2A 3A]	5	6
29	123457166	136	2	2	0	75	2	9	14	0	0	0	0	0	0	0	0	900	17	0	14	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[1A 2D 3C 2A 3A]	5	7
