day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456978	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456978	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456978	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456978	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456978	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456978	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456978	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456978	234	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	0	[]	0	1
8	123456978	230	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456978	228	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	0	[]	0	2
10	123456978	228	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	2
11	123456978	226	2	7	5	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	0	[]	0	1
12	123456978	218	1	0	1	8	1	5	6	0	0	0	0	0	0	0	0	240	4	0	3	0	0	0	0	0	50	0	[1C]	1	1
13	123456978	218	1	0	1	8	1	4	7	0	0	0	0	0	0	0	0	240	4	0	3	0	0	0	0	0	50	0	[1C]	1	1
14	123456978	218	1	0	1	8	1	4	7	0	0	0	0	0	0	0	0	240	4	0	3	0	0	0	0	0	50	0	[1C]	1	1
15	123456978	218	1	0	1	8	1	4	7	0	0	0	0	0	0	0	0	240	6	0	3	0	0	0	0	0	50	0	[1C]	1	1
16	123456978	218	1	0	1	8	1	4	7	0	0	0	0	0	0	0	0	240	6	0	3	0	0	0	0	0	50	0	[1C]	1	1
17	123456978	218	1	0	1	8	1	4	7	0	0	0	0	0	0	0	0	240	6	0	3	0	0	0	0	0	50	0	[1C]	1	1
18	123456978	218	1	0	1	8	0	5	7	0	0	0	0	0	0	0	0	240	7	0	3	0	0	0	0	0	50	0	[1C]	1	1
19	123456978	218	1	0	1	8	0	4	8	0	0	0	0	0	0	0	0	350	8	0	3	0	0	0	0	0	50	0	[1C]	1	1
20	123456978	218	1	0	1	8	0	3	9	0	0	0	0	0	0	0	0	350	8	0	3	0	0	0	0	0	50	0	[1C]	1	1
21	123456978	218	1	0	1	8	0	2	10	0	0	0	0	0	0	0	0	350	8	0	3	0	0	0	0	0	50	0	[1C]	1	1
22	123456978	218	1	0	1	8	0	1	11	0	0	0	0	0	0	0	0	350	9	0	3	0	0	0	0	0	50	0	[1C]	1	1
23	123456978	217	1	1	1	8	0	1	11	0	0	0	0	0	0	0	0	350	10	0	3	0	0	0	0	0	50	0	[1C]	1	2
24	123456978	217	1	1	1	8	0	1	11	0	0	0	0	0	0	0	0	350	11	0	3	0	0	0	0	0	50	0	[1C]	1	2
25	123456978	216	2	1	1	8	0	1	11	0	0	0	0	0	0	0	0	350	11	0	3	0	0	0	0	0	50	0	[1C]	1	2
26	123456978	207	0	0	13	17	2	1	0	0	0	0	0	0	0	0	0	470	11	0	4	0	0	0	0	0	50	0	[2C]	1	1
27	123456978	207	0	0	13	17	1	2	0	0	0	0	0	0	0	0	0	470	12	0	4	0	0	0	0	0	50	0	[2C]	1	1
28	123456978	207	0	0	13	17	1	2	0	0	0	0	0	0	0	0	0	470	13	0	4	0	0	0	0	0	50	0	[2C]	1	1
29	123456978	207	0	0	13	17	1	2	0	0	0	0	0	0	0	0	0	470	14	0	4	0	0	0	0	0	50	0	[2C]	1	1
30	123456978	207	0	0	13	17	1	1	1	0	0	0	0	0	0	0	0	470	15	0	4	0	0	0	0	0	50	0	[2C]	1	1
31	123456978	207	0	0	13	17	0	2	1	0	0	0	0	0	0	0	0	470	16	0	4	0	0	0	0	0	50	0	[2C]	1	1
32	123456978	207	0	0	13	17	0	2	1	0	0	0	0	0	0	0	0	470	17	0	4	0	0	0	0	0	50	0	[2C]	1	1
33	123456978	207	0	0	13	17	0	2	1	0	0	0	0	0	0	0	0	580	17	0	4	0	0	0	0	0	50	0	[2C]	1	1
34	123456978	207	0	0	13	17	0	2	1	0	0	0	0	0	0	0	0	580	18	0	4	0	0	0	0	0	50	0	[2C]	1	1
35	123456978	207	0	0	13	17	0	2	1	0	0	0	0	0	0	0	0	580	19	0	4	0	0	0	0	0	50	0	[2C]	1	1
