day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456839	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456839	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456839	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456839	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456839	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456839	232	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456839	232	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	10	0	0	0	0	0	0	0	50	0	[]	0	2
7	123456839	232	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	11	0	0	0	0	0	0	0	50	0	[]	0	2
8	123456839	217	2	1	0	13	2	4	1	0	0	0	0	0	0	0	0	120	12	0	1	0	0	0	0	0	50	0	[2A]	1	2
9	123456839	217	1	2	0	13	2	3	2	0	0	0	0	0	0	0	0	120	12	0	1	0	0	0	0	0	50	0	[2A]	1	2
10	123456839	217	1	0	2	13	2	3	2	0	0	0	0	0	0	0	0	120	13	0	1	0	0	0	0	0	50	0	[2A]	1	1
11	123456839	217	1	0	2	13	1	3	3	0	0	0	0	0	0	0	0	120	13	0	1	0	0	0	0	0	50	0	[2A]	1	1
12	123456839	216	1	1	2	13	1	1	5	0	0	0	0	0	0	0	0	120	15	0	1	0	0	0	0	0	50	0	[2A]	1	2
13	123456839	216	1	1	2	13	1	0	6	0	0	0	0	0	0	0	0	120	16	0	1	0	0	0	0	0	50	0	[2A]	1	1
