day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456927	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456927	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456927	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456927	231	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456927	200	0	0	0	31	4	4	1	0	0	0	0	0	0	0	0	240	5	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
5	123456927	200	0	0	0	31	3	4	2	0	0	0	0	0	0	0	0	240	6	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
6	123456927	200	0	0	0	31	3	4	2	0	0	0	0	0	0	0	0	240	6	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
7	123456927	200	0	0	0	31	3	4	2	0	0	0	0	0	0	0	0	240	7	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
8	123456927	200	0	0	0	31	3	3	3	0	0	0	0	0	0	0	0	240	11	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
9	123456927	200	0	0	0	31	3	3	3	0	0	0	0	0	0	0	0	240	11	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
10	123456927	200	0	0	0	31	2	4	3	0	0	0	0	0	0	0	0	240	11	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
11	123456927	200	0	0	0	31	1	5	3	0	0	0	0	0	0	0	0	440	13	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
12	123456927	200	0	0	0	31	1	5	3	0	0	0	0	0	0	0	0	440	13	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
13	123456927	200	0	0	0	31	1	5	3	0	0	0	0	0	0	0	0	440	15	0	4	0	0	0	0	0	50	0	[2B 3B]	2	2
