day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456867	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456867	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456867	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456867	234	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456867	231	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	50	0	[]	0	2
5	123456867	230	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	50	0	[]	0	2
6	123456867	216	2	2	0	0	0	0	0	0	0	0	0	14	3	2	1	60	1	1	0	0	1	0	0	0	50	0	[3D]	1	2
7	123456867	216	2	2	0	0	0	0	0	0	0	0	0	14	3	1	2	60	1	1	0	0	1	0	0	0	50	0	[3D]	1	2
8	123456867	215	3	2	0	0	0	0	0	0	0	0	0	14	2	2	2	60	1	1	0	0	1	0	0	0	50	0	[3D]	1	2
9	123456867	214	3	2	1	0	0	0	0	0	0	0	0	14	1	3	2	115	2	1	0	0	1	0	0	0	50	0	[3D]	1	2
10	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	3	5	4	115	2	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
11	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	3	5	4	115	2	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
12	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	2	6	4	115	2	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
13	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	2	6	4	115	5	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
14	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	2	6	4	115	6	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
15	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	1	6	5	115	6	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
16	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	0	7	5	165	7	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
17	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	0	5	7	165	7	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
18	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	0	5	7	165	8	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
19	123456867	200	0	0	0	0	0	0	0	0	0	0	0	28	0	5	7	165	9	2	0	0	2	0	0	0	50	0	[3D 1D]	2	2
20	123456867	214	0	0	6	0	0	0	0	0	0	0	0	14	0	3	3	165	9	2	0	0	2	0	0	0	50	0	[1D]	1	1
21	123456867	214	0	0	6	0	0	0	0	0	0	0	0	14	0	2	4	165	9	2	0	0	2	0	0	0	50	0	[1D]	1	1
22	123456867	214	0	0	6	0	0	0	0	0	0	0	0	14	0	1	5	165	11	2	0	0	2	0	0	0	50	0	[1D]	1	1
23	123456867	214	0	0	6	0	0	0	0	0	0	0	0	14	0	1	5	220	13	2	0	0	2	0	0	0	50	0	[1D]	1	1
24	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	220	14	2	0	0	2	0	0	0	50	0	[]	0	0
25	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	220	14	2	0	0	2	0	0	0	50	0	[]	0	0
26	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	220	14	2	0	0	2	0	0	0	50	0	[]	0	0
27	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	220	15	2	0	0	2	0	0	0	50	0	[]	0	0
28	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	220	17	2	0	0	2	0	0	0	50	0	[]	0	0
29	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	220	17	2	0	0	2	0	0	0	50	0	[]	0	0
30	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	280	18	2	0	0	2	0	0	0	50	0	[]	0	0
31	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	280	18	2	0	0	2	0	0	0	50	0	[]	0	0
32	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	280	18	2	0	0	2	0	0	0	50	0	[]	0	0
33	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	280	19	2	0	0	2	0	0	0	50	0	[]	0	0
34	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	280	20	2	0	0	2	0	0	0	50	0	[]	0	0
35	123456867	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	280	21	2	0	0	2	0	0	0	50	0	[]	0	0
