day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456964	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456964	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456964	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456964	234	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456964	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456964	229	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456964	229	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456964	219	1	0	0	0	0	0	0	10	3	6	1	0	0	0	0	60	9	0	0	1	0	0	0	0	50	0	[3A]	1	1
8	123456964	219	1	0	0	0	0	0	0	10	2	6	2	0	0	0	0	60	10	0	0	1	0	0	0	0	50	0	[3A]	1	1
9	123456964	219	0	1	0	0	0	0	0	10	1	6	3	0	0	0	0	60	10	0	0	1	0	0	0	0	50	0	[3A]	1	2
10	123456964	219	0	1	0	0	0	0	0	10	1	6	3	0	0	0	0	115	10	0	0	1	0	0	0	0	50	0	[3A]	1	2
11	123456964	218	1	1	0	0	0	0	0	10	0	6	4	0	0	0	0	115	11	0	0	1	0	0	0	0	50	0	[3A]	1	2
12	123456964	218	1	1	0	0	0	0	0	10	0	5	5	0	0	0	0	115	11	0	0	1	0	0	0	0	50	0	[3A]	1	2
13	123456964	218	0	2	0	0	0	0	0	10	0	4	6	0	0	0	0	115	11	0	0	1	0	0	0	0	50	0	[3A]	1	2
14	123456964	218	0	2	0	0	0	0	0	10	0	4	6	0	0	0	0	115	12	0	0	1	0	0	0	0	50	0	[3A]	1	2
15	123456964	216	2	1	1	0	0	0	0	10	0	3	7	0	0	0	0	115	13	0	0	1	0	0	0	0	50	0	[3A]	1	2
16	123456964	214	4	1	1	0	0	0	0	10	0	2	8	0	0	0	0	115	13	0	0	1	0	0	0	0	50	0	[3A]	1	2
17	123456964	214	2	3	1	0	0	0	0	10	0	2	8	0	0	0	0	170	15	0	0	1	0	0	0	0	50	0	[3A]	1	3
18	123456964	214	1	4	1	0	0	0	0	10	0	2	8	0	0	0	0	170	16	0	0	1	0	0	0	0	50	0	[3A]	1	3
19	123456964	212	3	3	2	0	0	0	0	10	0	2	8	0	0	0	0	170	16	0	0	1	0	0	0	0	50	0	[3A]	1	3
20	123456964	212	2	4	2	0	0	0	0	10	0	1	9	0	0	0	0	170	16	0	0	1	0	0	0	0	50	0	[3A]	1	3
21	123456964	222	1	5	12	0	0	0	0	0	0	0	0	0	0	0	0	170	16	0	0	1	0	0	0	0	50	0	[]	0	2
