day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456797	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456797	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456797	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456797	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456797	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456797	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456797	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456797	233	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	0	[]	0	1
8	123456797	230	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456797	229	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	0	[]	0	1
10	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	3	7	1	36	7	1	0	0	1	0	0	0	50	0	[1B]	1	1
11	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	3	6	2	36	8	1	0	0	1	0	0	0	50	0	[1B]	1	1
12	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	2	6	3	69	8	1	0	0	1	0	0	0	50	0	[1B]	1	1
13	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	1	6	4	69	9	1	0	0	1	0	0	0	50	0	[1B]	1	1
14	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	6	5	69	9	1	0	0	1	0	0	0	50	0	[1B]	1	1
15	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	6	5	69	10	1	0	0	1	0	0	0	50	0	[1B]	1	1
16	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	6	5	69	10	1	0	0	1	0	0	0	50	0	[1B]	1	1
17	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	6	5	69	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
18	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	6	5	69	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
19	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	6	5	91	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
20	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	4	7	91	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
21	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	3	8	91	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
22	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	3	8	91	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
23	123456797	220	0	0	0	0	0	0	0	0	0	0	0	9	0	2	9	91	11	1	0	0	1	0	0	0	50	0	[1B]	1	1
24	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	91	12	1	0	0	1	0	0	0	50	0	[]	0	0
25	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	91	12	1	0	0	1	0	0	0	50	0	[]	0	0
26	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	12	1	0	0	1	0	0	0	50	0	[]	0	0
27	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	14	1	0	0	1	0	0	0	50	0	[]	0	0
28	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	15	1	0	0	1	0	0	0	50	0	[]	0	0
29	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	15	1	0	0	1	0	0	0	50	0	[]	0	0
30	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	16	1	0	0	1	0	0	0	50	0	[]	0	0
31	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	16	1	0	0	1	0	0	0	50	0	[]	0	0
32	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	127	18	1	0	0	1	0	0	0	50	0	[]	0	0
33	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	151	18	1	0	0	1	0	0	0	50	0	[]	0	0
34	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	151	18	1	0	0	1	0	0	0	50	0	[]	0	0
35	123456797	229	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	151	20	1	0	0	1	0	0	0	50	0	[]	0	0
