day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456849	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456849	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456849	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456849	238	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456849	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456849	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456849	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456849	235	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	0	[]	0	1
8	123456849	232	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456849	232	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	50	0	[]	0	1
10	123456849	228	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	50	0	[]	0	1
11	123456849	227	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	0	50	0	[]	0	1
12	123456849	227	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	0	50	0	[]	0	1
13	123456849	227	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	50	0	[]	0	1
14	123456849	227	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	50	0	[]	0	2
15	123456849	223	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	50	0	[]	0	2
16	123456849	222	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	0	0	0	0	50	0	[]	0	2
17	123456849	220	6	9	5	0	0	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0	0	50	0	[]	0	2
18	123456849	213	3	4	0	5	1	9	5	0	0	0	0	0	0	0	0	36	15	0	1	0	0	0	0	0	50	0	[2A]	1	2
19	123456849	209	6	5	0	5	1	8	6	0	0	0	0	0	0	0	0	36	15	0	1	0	0	0	0	0	50	0	[2A]	1	2
20	123456849	209	3	8	0	5	1	8	6	0	0	0	0	0	0	0	0	36	16	0	1	0	0	0	0	0	50	0	[2A]	1	2
21	123456849	209	1	9	1	5	1	8	6	0	0	0	0	0	0	0	0	36	16	0	1	0	0	0	0	0	50	0	[2A]	1	2
22	123456849	207	3	7	3	5	1	7	7	0	0	0	0	0	0	0	0	36	17	0	1	0	0	0	0	0	50	0	[2A]	1	2
23	123456849	205	5	6	4	5	1	7	7	0	0	0	0	0	0	0	0	36	18	0	1	0	0	0	0	0	50	0	[2A]	1	2
24	123456849	205	5	4	6	5	0	6	9	0	0	0	0	0	0	0	0	36	18	0	1	0	0	0	0	0	50	0	[2A]	1	2
25	123456849	204	4	5	7	5	0	6	9	0	0	0	0	0	0	0	0	47	19	0	1	0	0	0	0	0	50	0	[2A]	1	2
26	123456849	202	5	6	7	5	0	4	11	0	0	0	0	0	0	0	0	47	20	0	1	0	0	0	0	0	50	0	[2A]	1	2
27	123456849	202	5	6	7	5	0	4	11	0	0	0	0	0	0	0	0	47	20	0	1	0	0	0	0	0	50	0	[2A]	1	2
28	123456849	202	3	7	8	5	0	4	11	0	0	0	0	0	0	0	0	47	20	0	1	0	0	0	0	0	50	0	[2A]	1	2
29	123456849	201	4	7	8	5	0	3	12	0	0	0	0	0	0	0	0	47	20	0	1	0	0	0	0	0	50	0	[2A]	1	2
30	123456849	200	5	6	9	5	0	2	13	0	0	0	0	0	0	0	0	47	22	0	1	0	0	0	0	0	50	0	[2A]	1	2
31	123456849	199	6	6	9	5	0	1	14	0	0	0	0	0	0	0	0	47	23	0	1	0	0	0	0	0	50	0	[2A]	1	2
32	123456849	184	3	7	26	0	0	0	0	19	0	1	0	0	0	0	0	58	24	0	1	1	0	0	0	0	50	0	[2B]	1	3
33	123456849	183	4	7	26	0	0	0	0	19	0	1	0	0	0	0	0	58	25	0	1	1	0	0	0	0	50	0	[2B]	1	3
34	123456849	183	4	3	30	0	0	0	0	19	0	1	0	0	0	0	0	58	26	0	1	1	0	0	0	0	50	0	[2B]	1	2
35	123456849	183	2	4	31	0	0	0	0	19	0	1	0	0	0	0	0	58	26	0	1	1	0	0	0	0	50	0	[2B]	1	2
