day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456854	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456854	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456854	219	1	0	0	0	0	0	0	0	0	0	0	18	0	2	0	12	1	1	0	0	1	0	0	0	50	0	[2B]	1	1
3	123456854	219	1	0	0	0	0	0	0	0	0	0	0	18	0	1	1	23	1	1	0	0	1	0	0	0	50	0	[2B]	1	1
4	123456854	216	3	1	0	0	0	0	0	0	0	0	0	18	0	1	1	23	3	1	0	0	1	0	0	0	50	0	[2B]	1	2
5	123456854	216	3	1	0	0	0	0	0	0	0	0	0	18	0	1	1	23	4	1	0	0	1	0	0	0	50	0	[2B]	1	2
6	123456854	216	1	3	0	0	0	0	0	0	0	0	0	18	0	0	2	23	4	1	0	0	1	0	0	0	50	0	[2B]	1	1
7	123456854	216	0	4	0	0	0	0	0	0	0	0	0	18	0	0	2	23	6	1	0	0	1	0	0	0	50	0	[2B]	1	1
8	123456854	212	4	3	1	0	0	0	0	0	0	0	0	18	0	0	2	45	6	1	0	0	1	0	0	0	50	0	[2B]	1	1
9	123456854	210	4	4	2	0	0	0	0	0	0	0	0	18	0	0	2	45	7	1	0	0	1	0	0	0	50	0	[2B]	1	1
10	123456854	208	6	3	3	0	0	0	0	0	0	0	0	18	0	0	2	56	8	1	0	0	1	0	0	0	50	0	[2B]	1	1
11	123456854	206	5	5	4	0	0	0	0	0	0	0	0	18	0	0	2	56	9	1	0	0	1	0	0	0	50	0	[2B]	1	1
12	123456854	204	6	6	4	0	0	0	0	0	0	0	0	18	0	0	2	56	10	1	0	0	1	0	0	0	50	0	[2B]	1	1
13	123456854	204	3	9	4	0	0	0	0	0	0	0	0	18	0	0	2	56	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
14	123456854	204	3	9	4	0	0	0	0	0	0	0	0	18	0	0	2	56	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
15	123456854	203	4	7	6	0	0	0	0	0	0	0	0	18	0	0	2	67	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
16	123456854	217	7	7	9	0	0	0	0	0	0	0	0	0	0	0	0	67	13	1	0	0	1	0	0	0	50	0	[]	0	1
17	123456854	217	5	9	9	0	0	0	0	0	0	0	0	0	0	0	0	79	14	1	0	0	1	0	0	0	50	0	[]	0	2
18	123456854	217	5	8	10	0	0	0	0	0	0	0	0	0	0	0	0	79	14	1	0	0	1	0	0	0	50	0	[]	0	2
19	123456854	215	4	10	11	0	0	0	0	0	0	0	0	0	0	0	0	79	14	1	0	0	1	0	0	0	50	0	[]	0	2
20	123456854	215	2	12	11	0	0	0	0	0	0	0	0	0	0	0	0	79	14	1	0	0	1	0	0	0	50	0	[]	0	3
21	123456854	215	2	10	13	0	0	0	0	0	0	0	0	0	0	0	0	79	15	1	0	0	1	0	0	0	50	0	[]	0	3
22	123456854	215	1	2	2	0	1	6	13	0	0	0	0	0	0	0	0	103	16	1	1	0	1	0	0	0	50	0	[3B]	1	3
23	123456854	213	2	2	3	0	0	5	15	0	0	0	0	0	0	0	0	103	17	1	1	0	1	0	0	0	50	0	[3B]	1	3
24	123456854	213	2	2	3	0	0	4	16	0	0	0	0	0	0	0	0	114	17	1	1	0	1	0	0	0	50	0	[3B]	1	3
25	123456854	213	1	3	3	0	0	4	16	0	0	0	0	0	0	0	0	114	18	1	1	0	1	0	0	0	50	0	[3B]	1	3
26	123456854	212	2	1	5	0	0	3	17	0	0	0	0	0	0	0	0	114	18	1	1	0	1	0	0	0	50	0	[3B]	1	2
27	123456854	212	2	1	5	0	0	2	18	0	0	0	0	0	0	0	0	114	19	1	1	0	1	0	0	0	50	0	[3B]	1	2
28	123456854	198	0	0	2	0	0	2	18	0	0	0	0	14	2	1	3	114	20	2	1	0	2	0	0	0	50	0	[3B 2B]	2	2
29	123456854	198	0	0	2	0	0	2	18	0	0	0	0	14	2	0	4	124	21	2	1	0	2	0	0	0	50	0	[3B 2B]	2	1
30	123456854	198	0	0	2	0	0	1	19	0	0	0	0	14	2	0	4	124	22	2	1	0	2	0	0	0	50	0	[3B 2B]	2	1
