day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456930	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456930	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456930	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456930	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456930	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	50	0	[]	0	2
5	123456930	232	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	0	50	0	[]	0	2
6	123456930	232	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	0	50	0	[]	0	2
7	123456930	232	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	50	0	[]	0	2
8	123456930	228	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	48	9	0	0	0	0	0	0	0	50	0	[]	0	2
9	123456930	225	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	48	9	0	0	0	0	0	0	0	50	0	[]	0	2
10	123456930	216	2	1	1	8	2	9	1	0	0	0	0	0	0	0	0	60	10	0	1	0	0	0	0	0	50	0	[1B]	1	2
11	123456930	216	2	0	2	8	2	7	3	0	0	0	0	0	0	0	0	60	11	0	1	0	0	0	0	0	50	0	[1B]	1	1
12	123456930	215	2	1	2	8	2	7	3	0	0	0	0	0	0	0	0	60	11	0	1	0	0	0	0	0	50	0	[1B]	1	2
13	123456930	215	2	0	3	8	2	6	4	0	0	0	0	0	0	0	0	60	12	0	1	0	0	0	0	0	50	0	[1B]	1	1
14	123456930	215	2	0	3	8	1	6	5	0	0	0	0	0	0	0	0	60	12	0	1	0	0	0	0	0	50	0	[1B]	1	1
15	123456930	215	1	1	3	8	0	7	5	0	0	0	0	0	0	0	0	71	12	0	1	0	0	0	0	0	50	0	[1B]	1	2
16	123456930	199	1	0	0	8	0	4	8	16	0	1	3	0	0	0	0	71	14	0	1	1	0	0	0	0	50	0	[1B 2B]	2	2
17	123456930	199	1	0	0	8	0	3	9	16	0	1	3	0	0	0	0	81	15	0	1	1	0	0	0	0	50	0	[1B 2B]	2	2
18	123456930	199	1	0	0	8	0	3	9	16	0	1	3	0	0	0	0	81	15	0	1	1	0	0	0	0	50	0	[1B 2B]	2	2
19	123456930	199	1	0	0	8	0	3	9	16	0	1	3	0	0	0	0	81	15	0	1	1	0	0	0	0	50	0	[1B 2B]	2	2
20	123456930	199	1	0	0	8	0	3	9	16	0	0	4	0	0	0	0	81	15	0	1	1	0	0	0	0	50	0	[1B 2B]	2	1
21	123456930	199	1	0	0	8	0	3	9	16	0	0	4	0	0	0	0	81	15	0	1	1	0	0	0	0	50	0	[1B 2B]	2	1
22	123456930	199	0	1	0	8	0	3	9	16	0	0	4	0	0	0	0	101	17	0	1	1	0	0	0	0	50	0	[1B 2B]	2	2
23	123456930	198	1	1	0	8	0	3	9	16	0	0	4	0	0	0	0	101	17	0	1	1	0	0	0	0	50	0	[1B 2B]	2	2
24	123456930	202	4	2	12	0	0	0	0	16	0	0	4	0	0	0	0	112	17	0	1	1	0	0	0	0	50	0	[2B]	1	1
25	123456930	202	2	2	14	0	0	0	0	16	0	0	4	0	0	0	0	112	17	0	1	1	0	0	0	0	50	0	[2B]	1	1
26	123456930	202	1	2	15	0	0	0	0	16	0	0	4	0	0	0	0	112	17	0	1	1	0	0	0	0	50	0	[2B]	1	1
27	123456930	202	1	2	15	0	0	0	0	16	0	0	4	0	0	0	0	112	17	0	1	1	0	0	0	0	50	0	[2B]	1	1
28	123456930	202	1	2	15	0	0	0	0	16	0	0	4	0	0	0	0	112	18	0	1	1	0	0	0	0	50	0	[2B]	1	1
29	123456930	200	3	2	15	0	0	0	0	16	0	0	4	0	0	0	0	123	18	0	1	1	0	0	0	0	50	0	[2B]	1	1
30	123456930	213	4	4	19	0	0	0	0	0	0	0	0	0	0	0	0	123	20	0	1	1	0	0	0	0	50	0	[]	0	1
31	123456930	203	0	1	16	10	2	3	5	0	0	0	0	0	0	0	0	135	20	0	2	1	0	0	0	0	50	0	[1C]	1	2
32	123456930	203	0	1	16	10	2	2	6	0	0	0	0	0	0	0	0	135	21	0	2	1	0	0	0	0	50	0	[1C]	1	2
33	123456930	202	1	1	16	10	1	2	7	0	0	0	0	0	0	0	0	135	21	0	2	1	0	0	0	0	50	0	[1C]	1	2
34	123456930	202	0	2	16	10	1	2	7	0	0	0	0	0	0	0	0	135	22	0	2	1	0	0	0	0	50	0	[1C]	1	2
35	123456930	202	0	2	16	10	1	2	7	0	0	0	0	0	0	0	0	135	22	0	2	1	0	0	0	0	50	0	[1C]	1	2
