day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456791	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456791	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456791	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456791	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456791	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456791	220	0	0	0	14	0	6	0	0	0	0	0	0	0	0	0	60	0	0	2	0	0	0	0	0	50	0	[3A]	1	1
6	123456791	220	0	0	0	14	0	5	1	0	0	0	0	0	0	0	0	60	1	0	2	0	0	0	0	0	50	0	[3A]	1	1
7	123456791	220	0	0	0	14	0	5	1	0	0	0	0	0	0	0	0	60	3	0	2	0	0	0	0	0	50	0	[3A]	1	1
8	123456791	220	0	0	0	14	0	3	3	0	0	0	0	0	0	0	0	60	4	0	2	0	0	0	0	0	50	0	[3A]	1	1
9	123456791	220	0	0	0	14	0	3	3	0	0	0	0	0	0	0	0	60	6	0	2	0	0	0	0	0	50	0	[3A]	1	1
10	123456791	220	0	0	0	14	0	2	4	0	0	0	0	0	0	0	0	93	7	0	2	0	0	0	0	0	50	0	[3A]	1	1
11	123456791	220	0	0	0	14	0	2	4	0	0	0	0	0	0	0	0	93	8	0	2	0	0	0	0	0	50	0	[3A]	1	1
12	123456791	220	0	0	0	14	0	1	5	0	0	0	0	0	0	0	0	115	8	0	2	0	0	0	0	0	50	0	[3A]	1	1
13	123456791	220	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	115	8	0	2	0	0	0	0	0	50	0	[3A]	1	0
14	123456791	220	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	115	10	0	2	0	0	0	0	0	50	0	[3A]	1	0
15	123456791	220	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	115	10	0	2	0	0	0	0	0	50	0	[3A]	1	0
16	123456791	220	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	115	12	0	2	0	0	0	0	0	50	0	[3A]	1	0
17	123456791	220	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	148	12	0	2	0	0	0	0	0	50	0	[3A]	1	0
18	123456791	220	0	0	0	14	0	0	6	0	0	0	0	0	0	0	0	148	13	0	2	0	0	0	0	0	50	0	[3A]	1	0
19	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	172	14	0	2	0	0	0	0	0	50	0	[]	0	0
20	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	172	15	0	2	0	0	0	0	0	50	0	[]	0	0
21	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	172	15	0	2	0	0	0	0	0	50	0	[]	0	0
22	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	172	16	0	2	0	0	0	0	0	50	0	[]	0	0
23	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	172	17	0	2	0	0	0	0	0	50	0	[]	0	0
24	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	208	18	0	2	0	0	0	0	0	50	0	[]	0	0
25	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	208	19	0	2	0	0	0	0	0	50	0	[]	0	0
26	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	232	20	0	2	0	0	0	0	0	50	0	[]	0	0
27	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	232	20	0	2	0	0	0	0	0	50	0	[]	0	0
28	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	232	22	0	2	0	0	0	0	0	50	0	[]	0	0
29	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	232	23	0	2	0	0	0	0	0	50	0	[]	0	0
30	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	232	23	0	2	0	0	0	0	0	50	0	[]	0	0
31	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	268	23	0	2	0	0	0	0	0	50	0	[]	0	0
32	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	268	23	0	2	0	0	0	0	0	50	0	[]	0	0
33	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	292	24	0	2	0	0	0	0	0	50	0	[]	0	0
34	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	292	25	0	2	0	0	0	0	0	50	0	[]	0	0
35	123456791	234	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	292	25	0	2	0	0	0	0	0	50	0	[]	0	0
