day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456802	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456802	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	[]	0	1
2	123456802	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	[]	0	1
3	123456802	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	[]	0	1
4	123456802	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	[]	0	1
5	123456802	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	[]	0	1
6	123456802	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	[]	0	1
7	123456802	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	[]	0	1
8	123456802	232	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	[]	0	1
9	123456802	230	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	[]	0	1
10	123456802	228	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	[]	0	1
11	123456802	219	1	0	0	0	0	0	0	0	0	0	0	9	5	4	2	0	11	1	0	0	1	0	[2D]	1	1
12	123456802	219	1	0	0	0	0	0	0	0	0	0	0	9	3	6	2	0	12	1	0	0	1	0	[2D]	1	1
13	123456802	219	1	0	0	0	0	0	0	0	0	0	0	9	2	5	4	0	12	1	0	0	1	0	[2D]	1	1
14	123456802	219	0	1	0	0	0	0	0	0	0	0	0	9	1	6	4	0	12	1	0	0	1	0	[2D]	1	2
15	123456802	219	0	1	0	0	0	0	0	0	0	0	0	9	1	4	6	0	12	1	0	0	1	0	[2D]	1	2
16	123456802	219	0	1	0	0	0	0	0	0	0	0	0	9	1	4	6	0	13	1	0	0	1	0	[2D]	1	2
17	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	1	4	7	0	14	2	0	0	2	0	[2D 2A]	2	2
18	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	1	3	8	0	14	2	0	0	2	0	[2D 2A]	2	2
19	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	0	4	8	0	15	2	0	0	2	0	[2D 2A]	2	2
20	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	0	3	9	0	17	2	0	0	2	0	[2D 2A]	2	2
21	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	0	2	10	0	18	2	0	0	2	0	[2D 2A]	2	2
22	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	0	1	11	0	18	2	0	0	2	0	[2D 2A]	2	1
23	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	0	1	11	0	20	2	0	0	2	0	[2D 2A]	2	1
24	123456802	200	0	0	0	0	0	0	0	0	0	0	0	28	0	1	11	0	21	2	0	0	2	0	[2D 2A]	2	1
25	123456802	209	0	0	11	0	0	0	0	0	0	0	0	19	0	1	0	0	21	2	0	0	2	0	[2A]	1	1
26	123456802	209	0	0	11	0	0	0	0	0	0	0	0	19	0	1	0	0	22	2	0	0	2	0	[2A]	1	1
27	123456802	209	0	0	11	0	0	0	0	0	0	0	0	19	0	0	1	0	23	2	0	0	2	0	[2A]	1	0
28	123456802	209	0	0	11	0	0	0	0	0	0	0	0	19	0	0	1	0	23	2	0	0	2	0	[2A]	1	0
29	123456802	209	0	0	11	0	0	0	0	0	0	0	0	19	0	0	1	0	23	2	0	0	2	0	[2A]	1	0
30	123456802	209	0	0	11	0	0	0	0	0	0	0	0	19	0	0	1	0	23	2	0	0	2	0	[2A]	1	0
31	123456802	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	2	0	[]	0	0
32	123456802	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	2	0	[]	0	0
33	123456802	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0	0	2	0	[]	0	0
34	123456802	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	0	0	2	0	[]	0	0
35	123456802	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	0	0	2	0	[]	0	0
