day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457789	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123457789	232	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123457789	221	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
3	123457789	220	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
4	123457789	219	12	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
5	123457789	207	23	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	2
6	123457789	207	15	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	2
7	123457789	207	12	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	2
8	123457789	197	18	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	2
9	123457789	156	53	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	4
10	123457789	135	44	23	18	0	0	0	0	0	0	0	0	5	9	6	0	0	6	1	0	0	1	0	0	0	50	0	[3B]	1	5
11	123457789	113	51	26	10	0	0	0	0	0	0	0	0	5	7	14	14	0	6	2	0	0	2	0	0	0	50	0	[3B 2D]	2	7
12	123457789	89	56	41	14	0	0	0	0	0	0	0	0	5	2	18	15	0	6	2	0	0	2	0	0	0	50	0	[3B 2D]	2	8
13	123457789	89	42	50	19	0	0	0	0	0	0	0	0	5	2	16	17	0	6	2	0	0	2	0	0	0	50	0	[3B 2D]	2	10
14	123457789	89	27	60	24	0	0	0	0	0	0	0	0	5	1	15	19	0	6	2	0	0	2	0	0	0	50	0	[3B 2D]	2	10
15	123457789	53	52	56	39	0	0	0	0	0	0	0	0	5	0	15	20	0	7	2	0	0	2	0	0	0	50	0	[3B 2D]	2	10
16	123457789	28	61	62	49	0	0	0	0	0	0	0	0	5	0	11	24	0	7	2	0	0	2	0	0	0	50	0	[3B 2D]	2	11
17	123457789	20	49	73	58	0	0	0	0	0	0	0	0	5	0	9	26	0	8	2	0	0	2	0	0	0	50	0	[3B 2D]	2	11
18	123457789	18	35	80	67	0	0	0	0	0	0	0	0	5	0	8	27	0	8	2	0	0	2	0	0	0	50	0	[3B 2D]	2	11
19	123457789	18	24	76	62	0	0	0	0	0	0	5	15	5	0	6	29	0	10	2	0	1	2	0	0	0	50	0	[3B 2D 2C]	3	11
20	123457789	18	19	75	68	0	0	0	0	0	0	4	16	5	0	5	30	0	10	2	0	1	2	0	0	0	50	0	[3B 2D 2C]	3	11
21	123457789	18	12	61	69	0	0	0	0	0	0	3	17	5	2	13	40	0	10	3	0	1	3	0	0	0	50	0	[3B 2D 2C 1C]	4	11
22	123457789	5	22	53	60	0	0	0	0	0	0	3	17	5	2	16	57	0	10	4	0	1	4	0	0	0	50	0	[3B 2D 2C 1C 3C]	5	12
23	123457789	0	19	41	60	0	0	0	0	0	0	11	29	5	1	12	62	0	11	4	0	2	4	0	0	0	50	0	[3B 2D 2C 1C 3C 1D]	6	12
24	123457789	2	18	40	80	0	0	0	0	0	0	8	32	0	1	8	51	0	12	4	0	2	4	0	0	0	50	0	[2D 2C 1C 3C 1D]	5	11
25	123457789	2	2	36	100	0	0	0	0	0	6	18	36	0	1	7	32	0	14	4	0	3	4	0	0	0	50	0	[2C 1C 3C 1D 1A]	5	11
26	123457789	0	3	36	101	0	0	0	0	0	4	18	38	0	0	6	34	0	14	4	0	3	4	0	0	0	50	0	[2C 1C 3C 1D 1A]	5	11
27	123457789	0	3	24	93	0	0	0	0	0	3	27	50	0	0	5	35	0	15	4	0	4	4	0	0	0	50	0	[2C 1C 3C 1D 1A 2A]	6	11
28	123457789	0	2	23	95	0	0	0	0	0	0	25	55	0	0	4	36	0	15	4	0	4	4	0	0	0	50	0	[2C 1C 3C 1D 1A 2A]	6	10
29	123457789	0	1	22	97	0	0	0	0	0	0	23	57	0	0	4	36	0	15	4	0	4	4	0	0	0	50	0	[2C 1C 3C 1D 1A 2A]	6	10
30	123457789	0	1	20	99	0	0	0	0	0	0	21	59	0	0	3	37	0	15	4	0	4	4	0	0	0	50	0	[2C 1C 3C 1D 1A 2A]	6	10
31	123457789	0	0	16	104	0	0	0	0	0	0	17	63	0	0	3	37	0	15	4	0	4	4	0	0	0	50	0	[2C 1C 3C 1D 1A 2A]	6	8
32	123457789	0	0	14	106	0	0	0	0	0	0	12	68	0	0	3	37	0	15	4	0	4	4	0	0	0	50	0	[2C 1C 3C 1D 1A 2A]	6	8
33	123457789	0	0	11	129	0	0	0	0	0	0	11	49	0	0	3	37	0	15	4	0	4	4	0	0	0	50	0	[1C 3C 1D 1A 2A]	5	8
34	123457789	0	0	9	131	0	0	0	0	0	0	10	50	0	0	2	38	0	16	4	0	4	4	0	0	0	50	0	[1C 3C 1D 1A 2A]	5	8
35	123457789	0	0	7	153	0	0	0	0	0	0	10	50	0	0	0	20	0	17	4	0	4	4	0	0	0	50	0	[3C 1D 1A 2A]	4	6
