day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456991	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456991	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456991	232	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456991	231	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123456991	218	2	0	0	13	2	4	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[2C]	1	1
6	123456991	218	0	2	0	13	2	1	4	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
7	123456991	218	0	2	0	13	1	2	4	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
8	123456991	218	0	2	0	13	1	0	6	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[2C]	1	2
9	123456991	217	1	2	0	13	1	0	6	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	1	0	0	0	[2C]	1	2
10	123456991	217	1	1	1	13	1	0	6	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	1	0	0	0	[2C]	1	1
11	123456991	216	2	1	1	13	1	0	6	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	1	0	0	0	[2C]	1	1
12	123456991	214	4	1	1	13	1	0	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	49	0	1	0	0	[2C]	1	1
13	123456991	214	3	2	1	13	0	1	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	49	0	1	0	0	[2C]	1	2
14	123456991	214	2	3	1	13	0	1	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	49	0	1	0	0	[2C]	1	2
15	123456991	212	4	2	2	13	0	1	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	49	0	1	0	0	[2C]	1	2
16	123456991	212	3	2	3	13	0	1	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	49	0	1	0	0	[2C]	1	3
17	123456991	211	3	3	3	13	0	1	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	48	1	1	0	0	[2C]	1	3
18	123456991	210	3	4	3	13	0	1	6	0	0	0	0	0	0	0	0	230	0	0	1	0	0	48	1	1	0	0	[2C]	1	3
19	123456991	222	4	2	12	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	48	0	2	0	0	[]	0	2
20	123456991	222	3	3	12	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	48	0	2	0	0	[]	0	2
21	123456991	222	2	3	13	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	48	0	2	0	0	[]	0	2
22	123456991	219	5	3	13	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	48	0	1	1	0	[]	0	1
23	123456991	217	6	4	13	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	48	0	1	1	0	[]	0	1
24	123456991	217	5	5	13	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	48	0	1	1	0	[]	0	2
25	123456991	217	5	5	13	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	1	0	0	47	1	1	1	0	[]	0	1
26	123456991	210	0	0	10	7	3	5	5	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	1
27	123456991	210	0	0	10	7	3	3	7	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	1
28	123456991	210	0	0	10	7	1	4	8	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	1
29	123456991	210	0	0	10	7	0	4	9	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	2
30	123456991	210	0	0	10	7	0	3	10	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	1
31	123456991	210	0	0	10	7	0	3	10	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	1
32	123456991	210	0	0	10	7	0	3	10	0	0	0	0	0	0	0	0	470	0	0	4	0	0	47	0	2	1	0	[3C]	1	1
33	123456991	209	1	0	10	7	0	3	10	0	0	0	0	0	0	0	0	580	0	0	4	0	0	47	0	1	2	0	[3C]	1	1
34	123456991	209	1	0	10	7	0	3	10	0	0	0	0	0	0	0	0	580	0	0	4	0	0	47	0	1	2	0	[3C]	1	1
35	123456991	209	1	0	10	7	0	3	10	0	0	0	0	0	0	0	0	580	0	0	4	0	0	47	0	1	2	0	[3C]	1	1
