day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456873	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456873	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456873	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456873	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456873	232	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	2
5	123456873	230	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	2
6	123456873	230	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	2
7	123456873	230	1	8	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	2
8	123456873	200	0	0	0	30	1	7	2	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	2
9	123456873	200	0	0	0	30	1	5	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	2
10	123456873	200	0	0	0	30	0	5	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	2
11	123456873	200	0	0	0	30	0	4	6	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
12	123456873	200	0	0	0	30	0	4	6	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
13	123456873	200	0	0	0	30	0	4	6	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
14	123456873	200	0	0	0	30	0	3	7	0	0	0	0	0	0	0	0	120	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
15	123456873	200	0	0	0	30	0	3	7	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
16	123456873	200	0	0	0	30	0	3	7	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
17	123456873	200	0	0	0	30	0	2	8	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
18	123456873	200	0	0	0	30	0	2	8	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
19	123456873	200	0	0	0	30	0	2	8	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
20	123456873	200	0	0	0	30	0	2	8	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
21	123456873	200	0	0	0	30	0	2	8	0	0	0	0	0	0	0	0	170	0	0	2	0	0	50	0	0	0	0	[2A 2B]	2	1
22	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
23	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
24	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
25	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
26	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
27	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
28	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	50	0	0	0	0	[]	0	0
29	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
30	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
31	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
32	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
33	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
34	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
35	123456873	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	50	0	0	0	0	[]	0	0
