day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456832	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456832	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456832	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456832	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456832	218	1	1	0	16	1	2	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	2
5	123456832	216	3	1	0	16	0	1	3	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	2
6	123456832	216	2	2	0	16	0	1	3	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	2
7	123456832	216	2	2	0	16	0	1	3	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	2
8	123456832	215	1	4	0	16	0	1	3	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	2
9	123456832	212	3	4	1	16	0	0	4	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	1
10	123456832	210	5	3	2	16	0	0	4	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3D]	1	1
11	123456832	199	1	0	0	27	3	3	7	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	1
12	123456832	197	2	1	0	27	2	4	7	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	2
13	123456832	197	1	2	0	27	2	4	7	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	2
14	123456832	197	1	2	0	27	2	4	7	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	2
15	123456832	197	1	2	0	27	0	6	7	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	2
16	123456832	195	3	2	0	27	0	5	8	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	2
17	123456832	193	3	3	1	27	0	2	11	0	0	0	0	0	0	0	0	230	0	0	3	0	0	50	0	0	0	0	[3D 1D]	2	2
18	123456832	196	0	0	4	24	3	3	10	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
19	123456832	196	0	0	4	24	2	3	11	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
20	123456832	196	0	0	4	24	0	4	12	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
21	123456832	196	0	0	4	24	0	2	14	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
22	123456832	196	0	0	4	24	0	2	14	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
23	123456832	196	0	0	4	24	0	2	14	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
24	123456832	196	0	0	4	24	0	2	14	0	0	0	0	0	0	0	0	340	0	0	5	0	0	50	0	0	0	0	[1D 2D]	2	2
25	123456832	207	0	0	13	13	0	1	6	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	1
26	123456832	207	0	0	13	13	0	1	6	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	1
27	123456832	207	0	0	13	13	0	1	6	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	1
28	123456832	207	0	0	13	13	0	1	6	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	1
29	123456832	207	0	0	13	13	0	0	7	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	0
30	123456832	207	0	0	13	13	0	0	7	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	0
31	123456832	207	0	0	13	13	0	0	7	0	0	0	0	0	0	0	0	450	0	0	5	0	0	50	0	0	0	0	[2D]	1	0
32	123456832	220	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	5	0	0	50	0	0	0	0	[]	0	0
33	123456832	220	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	5	0	0	50	0	0	0	0	[]	0	0
34	123456832	220	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	5	0	0	50	0	0	0	0	[]	0	0
35	123456832	220	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	5	0	0	50	0	0	0	0	[]	0	0
