day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456947	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456947	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456947	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456947	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	0	[]	0	1
4	123456947	217	2	1	0	19	0	1	0	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[3C]	1	2
5	123456947	216	3	1	0	19	0	0	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[3C]	1	1
6	123456947	216	2	2	0	19	0	0	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[3C]	1	1
7	123456947	216	1	3	0	19	0	0	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[3C]	1	1
8	123456947	215	1	4	0	19	0	0	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[3C]	1	1
9	123456947	210	5	5	0	19	0	0	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[3C]	1	1
10	123456947	207	7	6	0	19	0	0	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	48	1	1	0	0	[3C]	1	2
11	123456947	178	2	0	0	47	5	6	2	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	2	0	0	[3C 2B 3B]	3	3
12	123456947	178	1	1	0	47	5	5	3	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	2	0	0	[3C 2B 3B]	3	3
13	123456947	178	0	2	0	47	4	6	3	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	1	1	0	[3C 2B 3B]	3	4
14	123456947	178	0	2	0	47	3	6	4	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	1	1	0	[3C 2B 3B]	3	4
15	123456947	177	1	2	0	47	3	6	4	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	1	1	0	[3C 2B 3B]	3	4
16	123456947	177	1	2	0	47	2	7	4	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	1	1	0	[3C 2B 3B]	3	4
17	123456947	172	6	2	0	47	2	5	6	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	0	1	1	0	[3C 2B 3B]	3	4
18	123456947	171	6	2	1	46	2	6	6	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	4
19	123456947	167	7	4	2	46	2	6	6	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	4
20	123456947	167	5	5	3	46	1	5	8	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	4
21	123456947	167	3	6	4	46	0	6	8	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	4
22	123456947	166	2	6	6	46	0	5	9	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	3
23	123456947	165	2	6	7	46	0	5	9	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	3
24	123456947	165	2	6	7	46	0	4	10	0	0	0	0	0	0	0	0	330	0	0	4	0	0	48	0	1	1	0	[2B 3B 2C]	3	3
25	123456947	187	0	0	13	24	2	6	8	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	1	1	0	[2C 3A]	2	2
26	123456947	187	0	0	13	24	2	5	9	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	1	1	0	[2C 3A]	2	1
27	123456947	187	0	0	13	24	0	6	10	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	1	1	0	[2C 3A]	2	1
28	123456947	187	0	0	13	24	0	6	10	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	0	2	0	[2C 3A]	2	1
29	123456947	187	0	0	13	24	0	5	11	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	0	2	0	[2C 3A]	2	1
30	123456947	187	0	0	13	24	0	4	12	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	0	2	0	[2C 3A]	2	1
31	123456947	187	0	0	13	24	0	4	12	0	0	0	0	0	0	0	0	440	0	0	5	0	0	48	0	0	2	0	[2C 3A]	2	1
32	123456947	205	0	0	15	6	0	3	11	0	0	0	0	0	0	0	0	550	0	0	5	0	0	48	0	0	2	0	[3A]	1	1
33	123456947	205	0	0	15	6	0	2	12	0	0	0	0	0	0	0	0	550	0	0	5	0	0	48	0	0	2	0	[3A]	1	1
34	123456947	205	0	0	15	6	0	2	12	0	0	0	0	0	0	0	0	550	0	0	5	0	0	48	0	0	2	0	[3A]	1	1
35	123456947	205	0	0	15	6	0	2	12	0	0	0	0	0	0	0	0	550	0	0	5	0	0	48	0	0	2	0	[3A]	1	1
