day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457641	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457641	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	0	[]	0	1
2	123457641	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	0
3	123457641	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	0
4	123457641	234	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	1
5	123457641	232	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	1
6	123457641	232	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	1
7	123457641	232	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	1
8	123457641	228	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
9	123457641	220	0	0	0	8	3	4	5	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	1	1	0	0	[2D]	1	2
10	123457641	220	0	0	0	8	2	4	6	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	0	2	0	0	[2D]	1	1
11	123457641	220	0	0	0	8	1	4	7	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	0	2	0	0	[2D]	1	1
12	123457641	220	0	0	0	8	1	4	7	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	0	2	0	0	[2D]	1	1
13	123457641	220	0	0	0	8	1	4	7	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	0	2	0	0	[2D]	1	1
14	123457641	220	0	0	0	8	1	3	8	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	0	2	0	0	[2D]	1	1
15	123457641	218	2	0	0	8	1	3	8	0	0	0	0	0	0	0	0	240	0	0	3	0	0	48	0	2	0	0	[2D]	1	1
16	123457641	197	3	0	0	27	0	5	8	0	0	0	0	0	0	0	0	350	0	0	4	0	0	48	0	2	0	0	[2D 1C]	2	2
17	123457641	197	3	0	0	27	0	4	9	0	0	0	0	0	0	0	0	350	0	0	4	0	0	48	0	2	0	0	[2D 1C]	2	2
