day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456994	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456994	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456994	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456994	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	1	0	0	0	[]	0	1
4	123456994	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	1	0	0	0	[]	0	1
5	123456994	232	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	1	0	0	0	[]	0	1
6	123456994	232	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	1
7	123456994	232	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	1
8	123456994	226	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	1
9	123456994	221	9	6	4	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	1
10	123456994	217	3	0	0	4	5	6	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	1
11	123456994	217	2	1	0	4	5	6	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	2
12	123456994	217	1	2	0	4	4	6	6	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	3
13	123456994	217	1	1	1	4	3	6	7	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	2
14	123456994	217	1	1	1	4	2	7	7	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	2
15	123456994	214	4	1	1	4	1	7	8	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	2
16	123456994	212	4	3	1	4	1	6	9	0	0	0	0	0	0	0	0	120	0	0	2	0	0	49	0	0	1	0	[3B]	1	2
17	123456994	198	1	0	1	18	3	7	12	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
18	123456994	198	1	0	1	18	2	6	14	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
19	123456994	198	1	0	1	18	1	6	15	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
20	123456994	198	1	0	1	18	0	7	15	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
21	123456994	198	1	0	1	18	0	5	17	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
22	123456994	198	1	0	1	18	0	5	17	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
23	123456994	198	1	0	1	18	0	4	18	0	0	0	0	0	0	0	0	175	0	0	3	0	0	49	0	0	1	0	[3B 1B]	2	2
24	123456994	202	1	0	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	49	0	0	1	0	[1B]	1	1
25	123456994	202	1	0	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	49	0	0	1	0	[1B]	1	1
26	123456994	202	1	0	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	49	0	0	1	0	[1B]	1	1
27	123456994	202	1	0	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	49	0	0	1	0	[1B]	1	1
28	123456994	202	1	0	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	49	0	0	1	0	[1B]	1	1
29	123456994	202	0	1	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	1	0	1	0	[1B]	1	2
30	123456994	202	0	1	17	14	0	1	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	48	1	0	1	0	[1B]	1	2
31	123456994	215	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	48	1	0	1	0	[]	0	1
32	123456994	215	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	48	1	0	1	0	[]	0	0
33	123456994	215	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	48	1	0	1	0	[]	0	0
34	123456994	215	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	48	0	1	1	0	[]	0	0
35	123456994	215	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	48	0	1	1	0	[]	0	0
