day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457629	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457629	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457629	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457629	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123457629	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123457629	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123457629	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123457629	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123457629	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123457629	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123457629	229	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123457629	227	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	49	1	0	0	0	[]	0	1
12	123457629	220	11	7	2	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	1	0	0	0	[]	0	2
13	123457629	220	7	9	4	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	1	0	0	0	[]	0	3
14	123457629	220	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	3
15	123457629	217	8	8	7	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	3
16	123457629	211	11	11	7	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	4
17	123457629	208	8	15	9	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	48	1	0	1	0	[]	0	4
18	123457629	204	10	16	10	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	48	1	0	1	0	[]	0	4
19	123457629	174	3	2	1	29	7	15	9	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	1	0	1	0	[1A 1B 3B]	3	4
20	123457629	174	2	3	1	29	4	17	10	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	0	1	1	0	[1A 1B 3B]	3	4
21	123457629	174	0	4	2	29	2	16	13	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	0	0	2	0	[1A 1B 3B]	3	5
22	123457629	173	1	3	3	29	2	14	15	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	0	0	2	0	[1A 1B 3B]	3	5
23	123457629	171	3	3	3	29	1	11	19	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	0	0	2	0	[1A 1B 3B]	3	5
24	123457629	168	6	3	3	29	1	10	20	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	0	0	2	0	[1A 1B 3B]	3	5
25	123457629	167	6	4	3	29	1	9	21	0	0	0	0	0	0	0	0	108	0	0	4	0	0	48	0	0	2	0	[1A 1B 3B]	3	5
26	123457629	148	5	4	3	45	3	8	24	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
27	123457629	148	4	5	3	45	3	6	26	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
28	123457629	148	3	5	4	45	3	5	27	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
29	123457629	146	4	5	5	45	1	6	28	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
30	123457629	143	6	6	5	45	1	6	28	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
31	123457629	141	6	8	5	45	0	7	28	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
32	123457629	140	7	7	6	45	0	7	28	0	0	0	0	0	0	0	0	135	0	0	5	0	0	48	0	0	2	0	[1A 1B 3B 3C]	4	5
33	123457629	165	3	1	31	18	5	11	6	0	0	0	0	0	0	0	0	168	0	0	6	0	0	48	0	0	2	0	[3C 2B]	2	3
34	123457629	165	3	1	31	18	3	13	6	0	0	0	0	0	0	0	0	168	0	0	6	0	0	48	0	0	2	0	[3C 2B]	2	3
35	123457629	165	2	2	31	18	2	12	8	0	0	0	0	0	0	0	0	168	0	0	6	0	0	48	0	0	2	0	[3C 2B]	2	4
