day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457164	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457164	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457164	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	1	0	0	0	[]	0	1
3	123457164	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	1	0	0	0	[]	0	1
4	123457164	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	1	0	0	0	[]	0	1
5	123457164	231	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	0	1	0	0	[]	0	2
6	123457164	231	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	0	1	0	0	[]	0	2
7	123457164	231	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	0	1	0	0	[]	0	2
8	123457164	229	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	49	0	1	0	0	[]	0	2
9	123457164	225	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	49	0	1	0	0	[]	0	1
10	123457164	223	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	48	1	1	0	0	[]	0	3
11	123457164	223	7	6	4	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	48	1	1	0	0	[]	0	2
12	123457164	220	6	8	6	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	48	1	1	0	0	[]	0	3
13	123457164	220	4	7	9	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	48	1	1	0	0	[]	0	3
14	123457164	220	2	9	9	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	48	1	1	0	0	[]	0	3
15	123457164	214	1	3	2	5	1	7	7	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	2	0	0	[3A]	1	3
16	123457164	211	3	3	3	5	0	7	8	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	2	0	0	[3A]	1	2
17	123457164	208	4	4	4	5	0	7	8	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	2	0	0	[3A]	1	3
18	123457164	204	8	4	4	5	0	7	8	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	2	0	0	[3A]	1	2
19	123457164	202	8	6	4	5	0	7	8	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	1	1	0	[3A]	1	2
20	123457164	202	6	6	6	5	0	6	9	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	1	1	0	[3A]	1	3
21	123457164	202	5	7	6	5	0	6	9	0	0	0	0	0	0	0	0	72	0	0	2	0	0	48	0	1	1	0	[3A]	1	3
22	123457164	197	1	1	1	10	4	10	16	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	1	1	0	[3A 1A]	2	3
23	123457164	197	1	0	2	10	3	9	18	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	0	2	0	[3A 1A]	2	2
24	123457164	197	1	0	2	10	2	10	18	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	0	2	0	[3A 1A]	2	2
25	123457164	197	1	0	2	10	2	10	18	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	0	2	0	[3A 1A]	2	2
26	123457164	197	0	1	2	10	1	10	19	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	0	2	0	[3A 1A]	2	3
27	123457164	197	0	1	2	10	1	10	19	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	0	2	0	[3A 1A]	2	3
28	123457164	197	0	1	2	10	0	11	19	0	0	0	0	0	0	0	0	94	0	0	4	0	0	48	0	0	2	0	[3A 1A]	2	3
29	123457164	202	0	1	17	5	0	7	8	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	2
30	123457164	201	1	1	17	5	0	6	9	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	2
31	123457164	201	1	0	18	5	0	5	10	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	1
32	123457164	201	1	0	18	5	0	5	10	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	1
33	123457164	201	1	0	18	5	0	5	10	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	1
34	123457164	201	1	0	18	5	0	4	11	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	1
35	123457164	201	1	0	18	5	0	4	11	0	0	0	0	0	0	0	0	116	0	0	4	0	0	48	0	0	2	0	[1A]	1	1
