day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457784	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457784	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457784	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457784	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123457784	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123457784	235	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	49	1	0	0	0	[]	0	1
6	123457784	235	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	49	0	1	0	0	[]	0	1
7	123457784	235	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	49	0	1	0	0	[]	0	1
8	123457784	235	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	49	0	1	0	0	[]	0	1
9	123457784	234	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	49	0	1	0	0	[]	0	1
10	123457784	233	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
11	123457784	229	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
12	123457784	226	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
13	123457784	226	3	6	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
14	123457784	226	2	7	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
15	123457784	224	4	7	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
16	123457784	223	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	49	0	1	0	0	[]	0	1
17	123457784	219	1	0	0	4	3	7	6	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	1	0	0	[1A]	1	1
18	123457784	219	1	0	0	4	3	6	7	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	1	0	0	[1A]	1	1
19	123457784	219	1	0	0	4	2	5	9	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	1	0	0	[1A]	1	1
20	123457784	219	1	0	0	4	2	5	9	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	1	0	0	[1A]	1	1
21	123457784	219	0	1	0	4	2	4	10	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	1	0	0	[1A]	1	2
22	123457784	218	1	1	0	4	2	3	11	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
23	123457784	218	1	1	0	4	1	2	13	0	0	0	0	0	0	0	0	108	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
24	123457784	218	1	1	0	4	0	3	13	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
25	123457784	214	4	2	0	4	0	3	13	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
26	123457784	212	4	4	0	4	0	3	13	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
27	123457784	212	2	6	0	4	0	3	13	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
28	123457784	212	1	7	0	4	0	2	14	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
29	123457784	209	3	8	0	4	0	2	14	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
30	123457784	205	7	8	0	4	0	2	14	0	0	0	0	0	0	0	0	141	0	0	2	0	0	49	0	0	1	0	[1A]	1	2
31	123457784	202	1	1	16	7	5	8	0	0	0	0	0	0	0	0	0	177	0	0	3	0	0	49	0	0	1	0	[2A]	1	2
32	123457784	201	1	2	16	7	1	11	1	0	0	0	0	0	0	0	0	177	0	0	3	0	0	49	0	0	1	0	[2A]	1	2
33	123457784	201	0	3	16	7	1	8	4	0	0	0	0	0	0	0	0	177	0	0	3	0	0	49	0	0	1	0	[2A]	1	2
34	123457784	201	0	2	17	7	1	7	5	0	0	0	0	0	0	0	0	177	0	0	3	0	0	49	0	0	1	0	[2A]	1	2
35	123457784	201	0	1	18	7	0	8	5	0	0	0	0	0	0	0	0	177	0	0	3	0	0	49	0	0	1	0	[2A]	1	2
