day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457772	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457772	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457772	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457772	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123457772	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123457772	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123457772	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123457772	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123457772	233	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123457772	232	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123457772	231	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123457772	229	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	2
12	123457772	228	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
13	123457772	228	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
14	123457772	228	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	2
15	123457772	225	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	50	0	0	0	0	[]	0	2
16	123457772	220	9	7	4	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	50	0	0	0	0	[]	0	2
17	123457772	211	6	2	1	7	3	6	4	0	0	0	0	0	0	0	0	96	0	0	1	0	0	50	0	0	0	0	[1A]	1	2
18	123457772	208	7	4	1	7	2	6	5	0	0	0	0	0	0	0	0	96	0	0	1	0	0	50	0	0	0	0	[1A]	1	3
19	123457772	204	9	6	1	7	1	6	6	0	0	0	0	0	0	0	0	96	0	0	1	0	0	50	0	0	0	0	[1A]	1	3
20	123457772	204	8	7	1	7	1	6	6	0	0	0	0	0	0	0	0	96	0	0	1	0	0	50	0	0	0	0	[1A]	1	3
21	123457772	204	6	8	2	7	0	7	6	0	0	0	0	0	0	0	0	96	0	0	1	0	0	50	0	0	0	0	[1A]	1	4
22	123457772	194	3	2	1	16	2	13	9	0	0	0	0	0	0	0	0	107	0	0	2	0	0	50	0	0	0	0	[1A 1B]	2	4
23	123457772	194	2	2	2	16	2	12	10	0	0	0	0	0	0	0	0	107	0	0	2	0	0	50	0	0	0	0	[1A 1B]	2	4
24	123457772	192	4	2	2	16	1	11	12	0	0	0	0	0	0	0	0	117	0	0	2	0	0	50	0	0	0	0	[1A 1B]	2	4
25	123457772	190	5	3	2	16	0	11	13	0	0	0	0	0	0	0	0	117	0	0	2	0	0	50	0	0	0	0	[1A 1B]	2	4
26	123457772	185	8	5	2	16	0	10	14	0	0	0	0	0	0	0	0	117	0	0	2	0	0	49	1	0	0	0	[1A 1B]	2	5
27	123457772	185	5	8	2	16	0	9	15	0	0	0	0	0	0	0	0	117	0	0	2	0	0	49	1	0	0	0	[1A 1B]	2	6
28	123457772	185	3	9	3	16	0	9	15	0	0	0	0	0	0	0	0	117	0	0	2	0	0	49	1	0	0	0	[1A 1B]	2	6
29	123457772	175	1	2	2	26	0	17	17	0	0	0	0	0	0	0	0	127	0	0	3	0	0	49	1	0	0	0	[1A 1B 3A]	3	5
30	123457772	175	1	1	3	26	0	13	21	0	0	0	0	0	0	0	0	127	0	0	3	0	0	49	1	0	0	0	[1A 1B 3A]	3	4
31	123457772	182	0	1	17	19	0	10	11	0	0	0	0	0	0	0	0	137	0	0	3	0	0	49	0	1	0	0	[1B 3A]	2	3
32	123457772	182	0	1	17	19	0	9	12	0	0	0	0	0	0	0	0	137	0	0	3	0	0	49	0	1	0	0	[1B 3A]	2	3
33	123457772	182	0	1	17	19	0	9	12	0	0	0	0	0	0	0	0	137	0	0	3	0	0	49	0	1	0	0	[1B 3A]	2	3
34	123457772	182	0	1	17	19	0	7	14	0	0	0	0	0	0	0	0	137	0	0	3	0	0	49	0	1	0	0	[1B 3A]	2	3
35	123457772	182	0	1	17	19	0	6	15	0	0	0	0	0	0	0	0	137	0	0	3	0	0	49	0	1	0	0	[1B 3A]	2	3
