day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457259	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457259	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457259	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457259	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123457259	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123457259	236	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123457259	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123457259	236	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123457259	234	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123457259	233	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	49	1	0	0	0	[]	0	1
10	123457259	229	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	49	1	0	0	0	[]	0	1
11	123457259	228	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	1
12	123457259	228	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
13	123457259	228	1	4	7	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
14	123457259	228	1	3	8	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
15	123457259	227	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	48	1	0	1	0	[]	0	2
16	123457259	218	1	1	0	8	2	1	9	0	0	0	0	0	0	0	0	156	0	0	1	0	0	48	1	0	1	0	[3A]	1	2
17	123457259	217	2	1	0	8	2	1	9	0	0	0	0	0	0	0	0	156	0	0	1	0	0	48	0	1	1	0	[3A]	1	2
18	123457259	214	4	2	0	8	0	3	9	0	0	0	0	0	0	0	0	178	0	0	1	0	0	48	0	0	2	0	[3A]	1	2
19	123457259	211	5	4	0	8	0	3	9	0	0	0	0	0	0	0	0	178	0	0	1	0	0	48	0	0	2	0	[3A]	1	2
20	123457259	211	3	5	1	8	0	3	9	0	0	0	0	0	0	0	0	178	0	0	1	0	0	48	0	0	2	0	[3A]	1	3
21	123457259	211	1	7	1	8	0	3	9	0	0	0	0	0	0	0	0	178	0	0	1	0	0	48	0	0	2	0	[3A]	1	3
22	123457259	209	3	7	1	8	0	3	9	0	0	0	0	0	0	0	0	178	0	0	1	0	0	48	0	0	2	0	[3A]	1	3
23	123457259	199	0	0	1	18	3	8	11	0	0	0	0	0	0	0	0	211	0	0	2	0	0	48	0	0	2	0	[3A 2A]	2	2
24	123457259	199	0	0	1	18	1	6	15	0	0	0	0	0	0	0	0	211	0	0	2	0	0	48	0	0	2	0	[3A 2A]	2	2
