day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457609	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457609	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457609	230	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	2
3	123457609	215	4	1	0	15	2	3	0	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[1C]	1	2
4	123457609	212	5	3	0	15	2	2	1	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[1C]	1	2
5	123457609	208	6	6	0	15	1	2	2	0	0	0	0	0	0	0	0	58	0	0	1	0	0	50	0	0	0	0	[1C]	1	3
6	123457609	208	5	5	2	15	0	3	2	0	0	0	0	0	0	0	0	58	0	0	1	0	0	50	0	0	0	0	[1C]	1	3
7	123457609	208	3	6	3	15	0	2	3	0	0	0	0	0	0	0	0	58	0	0	1	0	0	50	0	0	0	0	[1C]	1	3
8	123457609	203	8	6	3	15	0	2	3	0	0	0	0	0	0	0	0	58	0	0	1	0	0	50	0	0	0	0	[1C]	1	3
9	123457609	202	6	9	3	15	0	1	4	0	0	0	0	0	0	0	0	58	0	0	1	0	0	50	0	0	0	0	[1C]	1	3
10	123457609	192	4	4	0	22	4	7	7	0	0	0	0	0	0	0	0	91	0	0	2	0	0	50	0	0	0	0	[1C 2C]	2	3
11	123457609	190	5	5	0	22	3	5	10	0	0	0	0	0	0	0	0	91	0	0	2	0	0	49	1	0	0	0	[1C 2C]	2	4
12	123457609	186	7	7	0	22	3	4	11	0	0	0	0	0	0	0	0	111	0	0	2	0	0	49	1	0	0	0	[1C 2C]	2	4
13	123457609	186	5	9	0	22	2	4	12	0	0	0	0	0	0	0	0	111	0	0	2	0	0	49	0	1	0	0	[1C 2C]	2	3
14	123457609	186	5	8	1	22	2	4	12	0	0	0	0	0	0	0	0	111	0	0	2	0	0	49	0	1	0	0	[1C 2C]	2	3
15	123457609	178	10	10	2	22	1	4	13	0	0	0	0	0	0	0	0	111	0	0	2	0	0	49	0	1	0	0	[1C 2C]	2	4
16	123457609	176	8	12	4	22	1	4	13	0	0	0	0	0	0	0	0	111	0	0	2	0	0	48	1	0	1	0	[1C 2C]	2	3
17	123457609	188	4	2	6	10	2	14	14	0	0	0	0	0	0	0	0	144	0	0	4	0	0	48	1	0	1	0	[2C 2D]	2	3
18	123457609	188	2	4	6	10	2	11	17	0	0	0	0	0	0	0	0	144	0	0	4	0	0	48	1	0	1	0	[2C 2D]	2	3
19	123457609	188	2	3	7	10	2	10	18	0	0	0	0	0	0	0	0	164	0	0	4	0	0	48	1	0	1	0	[2C 2D]	2	3
20	123457609	188	0	5	7	10	2	10	18	0	0	0	0	0	0	0	0	164	0	0	4	0	0	48	0	1	1	0	[2C 2D]	2	3
21	123457609	188	0	4	8	10	1	9	20	0	0	0	0	0	0	0	0	164	0	0	4	0	0	48	0	1	1	0	[2C 2D]	2	3
22	123457609	186	2	3	9	10	1	9	20	0	0	0	0	0	0	0	0	164	0	0	4	0	0	48	0	1	1	0	[2C 2D]	2	3
23	123457609	184	3	4	9	10	1	8	21	0	0	0	0	0	0	0	0	164	0	0	4	0	0	47	1	1	1	0	[2C 2D]	2	3
24	123457609	180	2	0	18	13	1	10	16	0	0	0	0	0	0	0	0	197	0	0	5	0	0	47	1	1	1	0	[2D 2B]	2	2
25	123457609	180	2	0	18	13	1	7	19	0	0	0	0	0	0	0	0	197	0	0	5	0	0	47	1	1	1	0	[2D 2B]	2	2
26	123457609	180	1	1	18	13	0	8	19	0	0	0	0	0	0	0	0	217	0	0	5	0	0	47	1	1	1	0	[2D 2B]	2	3
