day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457585	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457585	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457585	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457585	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123457585	229	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	2
5	123457585	225	9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	2
6	123457585	225	5	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	2
7	123457585	225	4	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	3
8	123457585	222	6	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	2
9	123457585	217	9	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	0	[]	0	3
10	123457585	217	6	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	0	[]	0	3
11	123457585	212	10	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2	0	0	0	[]	0	3
12	123457585	208	13	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	3	0	0	0	[]	0	4
13	123457585	208	11	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	2	1	0	0	[]	0	4
14	123457585	208	9	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	1	2	0	0	[]	0	3
15	123457585	202	11	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	1	2	0	0	[]	0	5
16	123457585	200	12	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	3	0	0	[]	0	3
17	123457585	198	11	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	3	0	0	[]	0	3
18	123457585	195	9	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	3	0	0	[]	0	6
19	123457585	189	13	18	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	3	0	0	[]	0	6
20	123457585	189	12	16	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	3	0	0	[]	0	6
21	123457585	189	8	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	3	0	0	[]	0	7
22	123457585	184	11	16	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	1	2	0	[]	0	6
23	123457585	179	11	17	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	2	1	2	0	[]	0	6
24	123457585	168	18	17	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2	2	2	0	[]	0	6
25	123457585	161	21	21	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2	2	2	0	[]	0	7
26	123457585	156	20	24	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2	1	3	0	[]	0	6
27	123457585	156	16	26	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2	1	3	0	[]	0	6
28	123457585	156	12	24	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2	1	3	0	[]	0	6
29	123457585	148	16	27	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	1	2	3	0	[]	0	7
30	123457585	144	15	26	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	2	1	4	0	[]	0	6
31	123457585	143	15	26	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	1	2	4	0	[]	0	6
32	123457585	138	18	24	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	3	4	0	[]	0	6
33	123457585	135	17	25	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	2	5	0	[]	0	5
34	123457585	135	12	28	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	2	5	0	[]	0	6
35	123457585	135	8	27	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	2	5	0	[]	0	6
