day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457184	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457184	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457184	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457184	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
4	123457184	235	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
5	123457184	235	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
6	123457184	235	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
7	123457184	235	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	0
8	123457184	234	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
9	123457184	233	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
10	123457184	232	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
11	123457184	230	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	2
12	123457184	218	1	1	0	12	3	3	2	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
13	123457184	218	1	1	0	12	1	5	2	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
14	123457184	218	1	1	0	12	1	5	2	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
15	123457184	216	3	1	0	12	0	5	3	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
16	123457184	215	4	1	0	12	0	5	3	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
17	123457184	215	4	1	0	12	0	4	4	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
18	123457184	215	3	2	0	12	0	4	4	0	0	0	0	0	0	0	0	240	0	0	2	0	0	[2D]	1	2
19	123457184	215	3	2	0	12	0	3	5	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	2
20	123457184	215	1	4	0	12	0	2	6	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	2
21	123457184	215	0	4	1	12	0	1	7	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	3
22	123457184	212	3	3	2	12	0	1	7	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	3
23	123457184	209	5	3	3	12	0	1	7	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	2
24	123457184	206	6	5	3	12	0	1	7	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	2
25	123457184	205	7	4	4	12	0	0	8	0	0	0	0	0	0	0	0	350	0	0	2	0	0	[2D]	1	1
26	123457184	211	0	0	9	6	2	8	4	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
27	123457184	211	0	0	9	6	0	8	6	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
28	123457184	211	0	0	9	6	0	6	8	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
29	123457184	211	0	0	9	6	0	5	9	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
30	123457184	211	0	0	9	6	0	5	9	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
31	123457184	211	0	0	9	6	0	5	9	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
32	123457184	211	0	0	9	6	0	5	9	0	0	0	0	0	0	0	0	470	0	0	6	0	0	[3D]	1	1
33	123457184	211	0	0	9	6	0	5	9	0	0	0	0	0	0	0	0	580	0	0	6	0	0	[3D]	1	1
34	123457184	211	0	0	9	6	0	3	11	0	0	0	0	0	0	0	0	580	0	0	6	0	0	[3D]	1	1
35	123457184	211	0	0	9	6	0	1	13	0	0	0	0	0	0	0	0	580	0	0	6	0	0	[3D]	1	1
