day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456811	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456811	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
2	123456811	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
3	123456811	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
4	123456811	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
5	123456811	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
6	123456811	235	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
7	123456811	235	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
8	123456811	234	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
9	123456811	232	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
10	123456811	231	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
11	123456811	230	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
12	123456811	228	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
13	123456811	228	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
14	123456811	228	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	[]	0	1
15	123456811	220	0	0	0	8	4	4	4	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
16	123456811	220	0	0	0	8	1	6	5	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
17	123456811	220	0	0	0	8	1	4	7	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
18	123456811	220	0	0	0	8	0	5	7	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
19	123456811	220	0	0	0	8	0	4	8	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
20	123456811	220	0	0	0	8	0	4	8	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
21	123456811	220	0	0	0	8	0	2	10	0	0	0	0	0	0	0	0	180	0	0	2	0	0	[2A]	1	1
22	123456811	220	0	0	0	8	0	2	10	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	1
23	123456811	220	0	0	0	8	0	2	10	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	1
24	123456811	220	0	0	0	8	0	2	10	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	1
25	123456811	220	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	0
26	123456811	220	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	0
27	123456811	220	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	0
28	123456811	220	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	235	0	0	2	0	0	[2A]	1	0
29	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
30	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
31	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
32	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
33	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
34	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
35	123456811	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	2	0	0	[]	0	0
