day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457230	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457230	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457230	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457230	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
4	123457230	219	1	0	0	16	1	3	0	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	1
5	123457230	218	1	1	0	16	1	3	0	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	2
6	123457230	218	1	1	0	16	0	4	0	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	2
7	123457230	218	1	1	0	16	0	3	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	2
8	123457230	215	3	2	0	16	0	3	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	2
9	123457230	215	3	1	1	16	0	3	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	2
10	123457230	215	3	1	1	16	0	3	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	[3B]	1	2
11	123457230	213	5	1	1	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	2
12	123457230	212	6	1	1	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	2
13	123457230	212	3	4	1	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	2
14	123457230	212	3	3	2	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	2
15	123457230	211	4	3	2	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	2
16	123457230	210	4	4	2	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	3
17	123457230	206	8	4	2	16	0	2	2	0	0	0	0	0	0	0	0	115	0	0	2	0	0	[3B]	1	3
18	123457230	193	2	1	4	28	5	5	2	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	3
19	123457230	192	2	2	4	28	5	3	4	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	3
20	123457230	192	2	2	4	28	2	6	4	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	3
21	123457230	192	2	2	4	28	2	5	5	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	3
22	123457230	191	3	1	5	28	2	5	5	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	3
23	123457230	189	4	2	5	28	2	5	5	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	4
24	123457230	187	6	1	6	28	2	5	5	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[2B 2C]	2	3
25	123457230	186	5	3	6	28	1	5	6	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	3
26	123457230	183	5	3	9	28	0	5	7	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	4
27	123457230	183	2	5	10	28	0	5	7	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	5
28	123457230	183	1	6	10	28	0	5	7	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	5
29	123457230	181	3	5	11	28	0	3	9	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	5
30	123457230	177	6	6	11	28	0	3	9	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	5
31	123457230	173	9	7	11	28	0	3	9	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[2B 2C]	2	5
32	123457230	186	5	6	23	14	1	3	2	0	0	0	0	0	0	0	0	285	0	0	6	0	0	[2D]	1	3
33	123457230	181	7	9	23	14	1	2	3	0	0	0	0	0	0	0	0	285	0	0	6	0	0	[2D]	1	3
34	123457230	181	4	11	24	14	1	2	3	0	0	0	0	0	0	0	0	285	0	0	6	0	0	[2D]	1	3
35	123457230	181	3	12	24	14	1	2	3	0	0	0	0	0	0	0	0	285	0	0	6	0	0	[2D]	1	3
