day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457747	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457747	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457747	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457747	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
4	123457747	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
5	123457747	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
6	123457747	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
7	123457747	233	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
8	123457747	230	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
9	123457747	225	8	6	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
10	123457747	224	7	8	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
11	123457747	196	3	1	0	27	3	9	1	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	3
12	123457747	194	3	3	0	27	3	6	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	3
13	123457747	194	2	4	0	27	2	7	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	3
14	123457747	194	0	5	1	27	1	7	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	4
15	123457747	193	1	3	3	27	1	5	7	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	3
16	123457747	190	4	3	3	27	0	3	10	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	3
17	123457747	188	4	5	3	27	0	3	10	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[1C 2C]	2	3
18	123457747	186	5	6	3	27	0	3	10	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	3
19	123457747	183	7	7	3	27	0	2	11	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	4
20	123457747	183	3	11	3	27	0	1	12	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	4
21	123457747	183	1	9	7	27	0	1	12	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	3
22	123457747	176	8	8	8	27	0	1	12	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	3
23	123457747	173	8	8	11	26	1	1	12	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	3
24	123457747	170	8	8	14	26	1	1	12	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[1C 2C]	2	3
25	123457747	188	4	4	24	7	3	5	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	3
26	123457747	187	2	7	24	7	0	8	5	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	3
27	123457747	187	2	6	25	7	0	7	6	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	3
28	123457747	187	1	7	25	7	0	6	7	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	3
29	123457747	186	2	6	26	7	0	5	8	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	3
30	123457747	182	5	6	27	7	0	5	8	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	4
31	123457747	181	6	5	28	7	0	4	9	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[2B]	1	3
32	123457747	176	5	2	17	11	1	7	21	0	0	0	0	0	0	0	0	285	0	0	4	0	0	[2B 3B]	2	4
33	123457747	171	7	5	17	11	1	7	21	0	0	0	0	0	0	0	0	285	0	0	4	0	0	[2B 3B]	2	4
34	123457747	171	5	5	19	11	1	7	21	0	0	0	0	0	0	0	0	285	0	0	4	0	0	[2B 3B]	2	4
35	123457747	171	3	7	19	11	1	6	22	0	0	0	0	0	0	0	0	285	0	0	4	0	0	[2B 3B]	2	4
