day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457235	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457235	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457235	234	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
3	123457235	230	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
4	123457235	227	8	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
5	123457235	225	7	5	3	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
6	123457235	225	6	6	3	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
7	123457235	225	4	7	4	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
8	123457235	223	5	7	5	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
9	123457235	198	2	0	0	25	2	8	5	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	2
10	123457235	198	2	0	0	25	2	8	5	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	2
11	123457235	197	2	1	0	25	2	6	7	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	3
12	123457235	197	2	1	0	25	1	7	7	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	3
13	123457235	197	1	1	1	25	1	5	9	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	3
14	123457235	197	1	0	2	25	1	5	9	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	2
15	123457235	197	1	0	2	25	1	4	10	0	0	0	0	0	0	0	0	120	0	0	3	0	0	[2C 3D]	2	2
16	123457235	197	1	0	2	25	1	4	10	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	2
17	123457235	197	1	0	2	25	0	5	10	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	2
18	123457235	197	1	0	2	25	0	4	11	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	2
19	123457235	197	1	0	2	25	0	3	12	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	2
20	123457235	197	1	0	2	25	0	3	12	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	2
21	123457235	197	1	0	2	25	0	3	12	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	2
22	123457235	197	0	1	2	25	0	2	13	0	0	0	0	0	0	0	0	170	0	0	3	0	0	[2C 3D]	2	3
23	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
24	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
25	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
26	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
27	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
28	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
29	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	3	0	0	[]	0	0
30	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	[]	0	0
31	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	[]	0	0
32	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	[]	0	0
33	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	[]	0	0
34	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	[]	0	0
35	123457235	222	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	3	0	0	[]	0	0
