day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457508	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457508	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457508	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457508	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
4	123457508	232	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
5	123457508	210	5	5	0	19	0	1	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	2
6	123457508	210	3	7	0	19	0	1	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	3
7	123457508	210	2	5	3	19	0	1	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	3
8	123457508	210	2	5	3	19	0	1	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	3
9	123457508	207	5	5	3	19	0	1	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	3
10	123457508	205	7	5	3	19	0	1	0	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	3
11	123457508	201	9	7	3	19	0	0	1	0	0	0	0	0	0	0	0	60	0	0	1	0	0	[2C]	1	2
12	123457508	179	1	0	0	41	5	9	5	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	2
13	123457508	179	0	1	0	41	4	8	7	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	3
14	123457508	179	0	1	0	41	2	9	8	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	3
15	123457508	179	0	1	0	41	2	7	10	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	3
16	123457508	177	2	1	0	41	1	7	11	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	3
17	123457508	176	2	2	0	41	1	7	11	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	3
18	123457508	175	1	3	1	41	0	7	12	0	0	0	0	0	0	0	0	115	0	0	4	0	0	[2C 2B 3B]	3	3
19	123457508	191	4	2	3	22	0	7	11	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
20	123457508	191	4	2	3	22	0	6	12	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
21	123457508	191	3	2	4	22	0	6	12	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
22	123457508	189	5	2	4	22	0	5	13	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
23	123457508	187	6	3	4	22	0	5	13	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
24	123457508	187	5	4	4	22	0	5	13	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
25	123457508	186	4	6	4	22	0	4	14	0	0	0	0	0	0	0	0	165	0	0	4	0	0	[2B 3B]	2	3
26	123457508	201	0	0	19	7	4	5	4	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
27	123457508	201	0	0	19	7	4	5	4	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
28	123457508	201	0	0	19	7	1	8	4	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
29	123457508	201	0	0	19	7	1	7	5	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
30	123457508	201	0	0	19	7	0	6	7	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
31	123457508	201	0	0	19	7	0	4	9	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
32	123457508	201	0	0	19	7	0	3	10	0	0	0	0	0	0	0	0	225	0	0	5	0	0	[1B]	1	1
33	123457508	201	0	0	19	7	0	3	10	0	0	0	0	0	0	0	0	280	0	0	5	0	0	[1B]	1	1
34	123457508	201	0	0	19	7	0	3	10	0	0	0	0	0	0	0	0	280	0	0	5	0	0	[1B]	1	1
35	123457508	201	0	0	19	7	0	3	10	0	0	0	0	0	0	0	0	280	0	0	5	0	0	[1B]	1	1
