day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457558	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457558	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457558	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	2
3	123457558	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	2
4	123457558	232	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	2
5	123457558	227	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
6	123457558	227	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
7	123457558	227	6	6	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
8	123457558	222	10	7	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
9	123457558	217	10	10	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
10	123457558	215	8	11	6	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
11	123457558	212	10	10	8	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
12	123457558	206	7	4	3	5	2	7	6	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
13	123457558	206	6	5	3	5	2	7	6	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
14	123457558	206	6	5	3	5	2	6	7	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
15	123457558	206	5	4	5	5	2	6	7	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
16	123457558	206	4	5	5	5	1	7	7	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
17	123457558	203	7	5	5	5	1	7	7	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
18	123457558	203	4	7	6	5	1	6	8	0	0	0	0	0	0	0	0	72	0	0	2	0	0	[3C]	1	2
19	123457558	200	0	0	0	8	4	12	16	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
20	123457558	200	0	0	0	8	3	13	16	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
21	123457558	200	0	0	0	8	2	11	19	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
22	123457558	200	0	0	0	8	0	9	23	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
23	123457558	200	0	0	0	8	0	5	27	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
24	123457558	200	0	0	0	8	0	3	29	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
25	123457558	200	0	0	0	8	0	2	30	0	0	0	0	0	0	0	0	105	0	0	3	0	0	[3C 2C]	2	2
26	123457558	205	0	0	15	3	0	1	16	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	1
27	123457558	205	0	0	15	3	0	0	17	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	0
28	123457558	205	0	0	15	3	0	0	17	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	0
29	123457558	205	0	0	15	3	0	0	17	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	0
30	123457558	205	0	0	15	3	0	0	17	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	0
31	123457558	205	0	0	15	3	0	0	17	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	0
32	123457558	205	0	0	15	3	0	0	17	0	0	0	0	0	0	0	0	138	0	0	3	0	0	[2C]	1	0
33	123457558	208	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	3	0	0	[]	0	0
34	123457558	208	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	3	0	0	[]	0	0
35	123457558	208	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	3	0	0	[]	0	0
