day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457589	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457589	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
2	123457589	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
3	123457589	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
4	123457589	234	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
5	123457589	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
6	123457589	233	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
7	123457589	233	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
8	123457589	231	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
9	123457589	230	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
10	123457589	225	7	5	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
11	123457589	221	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
12	123457589	215	12	9	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
13	123457589	215	9	10	6	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
14	123457589	215	8	10	7	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
15	123457589	210	11	12	7	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
16	123457589	202	16	13	9	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	4
17	123457589	195	21	12	12	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	4
18	123457589	192	19	16	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	4
19	123457589	183	17	24	16	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	6
20	123457589	183	12	27	18	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	8
21	123457589	183	8	26	23	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	8
22	123457589	146	10	13	11	32	1	12	15	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	8
23	123457589	144	9	14	13	32	1	10	17	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	8
24	123457589	142	11	12	15	32	1	9	18	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	7
25	123457589	138	11	15	16	32	1	8	19	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	7
26	123457589	132	11	19	18	32	1	7	20	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	7
27	123457589	132	9	17	22	32	1	7	20	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	7
28	123457589	132	5	20	23	32	1	6	21	0	0	0	0	0	0	0	0	60	0	0	3	0	0	[1B 3A 3C]	3	7
29	123457589	126	10	19	25	32	0	7	21	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	7
30	123457589	122	13	18	27	32	0	5	23	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	7
31	123457589	120	9	22	29	32	0	5	23	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	7
32	123457589	117	11	18	34	32	0	4	24	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	7
33	123457589	117	8	18	37	32	0	3	25	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	7
34	123457589	117	5	18	40	32	0	2	26	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	6
35	123457589	117	1	21	41	32	0	2	26	0	0	0	0	0	0	0	0	69	0	0	3	0	0	[1B 3A 3C]	3	6
