day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456800	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456800	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123456800	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123456800	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	2
4	123456800	236	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
5	123456800	234	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
6	123456800	234	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
7	123456800	234	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
8	123456800	232	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
9	123456800	227	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
10	123456800	226	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	2
11	123456800	210	4	5	1	13	2	4	1	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
12	123456800	208	5	6	1	13	2	4	1	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
13	123456800	208	3	8	1	13	2	4	1	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
14	123456800	208	2	7	3	13	2	3	2	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
15	123456800	206	2	7	5	13	1	3	3	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
16	123456800	204	4	6	6	13	1	3	3	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
17	123456800	201	6	6	7	13	0	4	3	0	0	0	0	0	0	0	0	24	0	0	1	0	0	[1C]	1	2
18	123456800	200	7	3	10	13	0	4	3	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	2
19	123456800	200	6	4	10	13	0	4	3	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	2
20	123456800	200	5	4	11	13	0	3	4	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	2
21	123456800	200	4	5	11	13	0	3	4	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	2
22	123456800	199	3	7	11	13	0	3	4	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	2
23	123456800	197	5	6	12	13	0	3	4	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	2
24	123456800	196	4	8	12	13	0	3	4	0	0	0	0	0	0	0	0	35	0	0	1	0	0	[1C]	1	4
25	123456800	203	7	3	7	0	1	7	12	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
26	123456800	200	8	4	8	0	1	7	12	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
27	123456800	200	4	8	8	0	1	7	12	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
28	123456800	200	4	8	8	0	0	6	14	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
29	123456800	197	6	8	9	0	0	5	15	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
30	123456800	193	6	12	9	0	0	5	15	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
31	123456800	189	8	12	11	0	0	4	16	0	0	0	0	0	0	0	0	47	0	0	2	0	0	[2C]	1	3
32	123456800	184	10	14	12	0	0	2	18	0	0	0	0	0	0	0	0	58	0	0	2	0	0	[2C]	1	3
33	123456800	181	10	15	14	0	0	1	19	0	0	0	0	0	0	0	0	58	0	0	2	0	0	[2C]	1	3
34	123456800	181	9	16	14	0	0	1	19	0	0	0	0	0	0	0	0	58	0	0	2	0	0	[2C]	1	3
35	123456800	181	7	15	17	0	0	1	19	0	0	0	0	0	0	0	0	58	0	0	2	0	0	[2C]	1	3
