day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457468	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457468	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457468	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
3	123457468	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
4	123457468	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
5	123457468	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
6	123457468	237	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
7	123457468	237	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
8	123457468	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	[]	0	1
9	123457468	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	1
10	123457468	232	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	1
11	123457468	232	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	1
12	123457468	228	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
13	123457468	228	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
14	123457468	228	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
15	123457468	226	2	7	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	[]	0	2
16	123457468	218	1	1	0	8	1	5	6	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	2
17	123457468	217	1	2	0	8	1	4	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	3
18	123457468	214	3	3	0	8	0	5	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	3
19	123457468	211	6	2	1	8	0	5	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	3
20	123457468	211	5	3	1	8	0	5	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	3
21	123457468	211	3	4	2	8	0	4	8	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	3
22	123457468	210	3	5	2	8	0	4	8	0	0	0	0	0	0	0	0	48	0	0	1	0	0	[2C]	1	3
23	123457468	208	4	6	2	8	0	4	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
24	123457468	199	10	9	2	8	0	4	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
25	123457468	193	15	8	4	8	0	3	9	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
26	123457468	190	14	11	5	8	0	2	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
27	123457468	190	11	12	7	8	0	2	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
28	123457468	190	5	15	10	8	0	2	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
29	123457468	186	7	14	13	8	0	2	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	[2C]	1	3
30	123457468	192	9	13	26	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	[]	0	2
31	123457468	192	5	11	32	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	[]	0	2
32	123457468	191	4	12	33	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	[]	0	2
33	123457468	189	4	13	34	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	[]	0	3
34	123457468	189	3	13	35	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	[]	0	3
35	123457468	189	3	13	35	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	[]	0	3
