day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457391	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457391	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457391	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457391	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
4	123457391	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
5	123457391	232	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
6	123457391	232	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
7	123457391	232	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
8	123457391	225	8	6	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
9	123457391	220	10	8	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
10	123457391	215	4	1	0	5	5	8	2	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	2
11	123457391	211	6	3	0	5	5	6	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	3
12	123457391	209	5	6	0	5	3	8	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	4
13	123457391	209	4	5	2	5	2	9	4	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	3
14	123457391	209	2	7	2	5	1	6	8	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	4
15	123457391	203	7	8	2	5	0	6	9	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	4
16	123457391	201	8	7	4	5	0	5	10	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[3B]	1	4
17	123457391	176	1	1	2	30	3	15	12	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
18	123457391	175	1	2	2	30	3	13	14	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
19	123457391	171	4	3	2	30	2	11	17	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
20	123457391	171	4	2	3	30	2	9	19	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
21	123457391	171	4	2	3	30	2	9	19	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
22	123457391	170	4	3	3	30	1	9	20	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
23	123457391	167	6	3	4	30	0	9	21	0	0	0	0	0	0	0	0	175	0	0	5	0	0	[3B 1C 2C]	3	4
24	123457391	164	0	0	16	33	5	10	12	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	3
25	123457391	164	0	0	16	33	2	13	12	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	3
26	123457391	164	0	0	16	33	1	11	15	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	3
27	123457391	164	0	0	16	33	0	9	18	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	2
28	123457391	164	0	0	16	33	0	9	18	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	2
29	123457391	164	0	0	16	33	0	6	21	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	2
30	123457391	164	0	0	16	33	0	6	21	0	0	0	0	0	0	0	0	225	0	0	6	0	0	[1C 2C 2D]	3	2
31	123457391	189	0	0	31	8	0	3	9	0	0	0	0	0	0	0	0	280	0	0	6	0	0	[2D]	1	1
32	123457391	189	0	0	31	8	0	2	10	0	0	0	0	0	0	0	0	280	0	0	6	0	0	[2D]	1	1
33	123457391	189	0	0	31	8	0	2	10	0	0	0	0	0	0	0	0	280	0	0	6	0	0	[2D]	1	1
34	123457391	189	0	0	31	8	0	2	10	0	0	0	0	0	0	0	0	280	0	0	6	0	0	[2D]	1	1
35	123457391	189	0	0	31	8	0	1	11	0	0	0	0	0	0	0	0	280	0	0	6	0	0	[2D]	1	1
