day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457106	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457106	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
2	123457106	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
3	123457106	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
4	123457106	232	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
5	123457106	229	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
6	123457106	229	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
7	123457106	229	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	1
8	123457106	228	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	[]	0	1
9	123457106	226	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	[]	0	1
10	123457106	219	1	0	0	7	3	3	7	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	[2B]	1	1
11	123457106	219	1	0	0	7	1	5	7	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	[2B]	1	1
12	123457106	219	1	0	0	7	0	5	8	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	[2B]	1	1
13	123457106	219	0	1	0	7	0	5	8	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	[2B]	1	2
14	123457106	219	0	1	0	7	0	4	9	0	0	0	0	0	0	0	0	60	0	0	1	0	0	0	[2B]	1	2
15	123457106	219	0	0	1	7	0	4	9	0	0	0	0	0	0	0	0	71	0	0	1	0	0	0	[2B]	1	1
16	123457106	219	0	0	1	7	0	4	9	0	0	0	0	0	0	0	0	71	0	0	1	0	0	0	[2B]	1	1
17	123457106	219	0	0	1	7	0	4	9	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	[2B]	1	1
18	123457106	219	0	0	1	7	0	3	10	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	[2B]	1	1
19	123457106	219	0	0	1	7	0	3	10	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	[2B]	1	1
20	123457106	219	0	0	1	7	0	3	10	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	[2B]	1	1
21	123457106	219	0	0	1	7	0	3	10	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	[2B]	1	1
22	123457106	219	0	0	1	7	0	3	10	0	0	0	0	0	0	0	0	104	0	0	1	0	0	0	[2B]	1	1
23	123457106	219	0	0	1	7	0	3	10	0	0	0	0	0	0	0	0	104	0	0	1	0	0	0	[2B]	1	1
24	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	1	0	0	0	[]	0	0
25	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	1	0	0	0	[]	0	0
26	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	1	0	0	0	[]	0	0
27	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	1	0	0	0	[]	0	0
28	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	1	0	0	0	[]	0	0
29	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	1	0	0	0	[]	0	0
30	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	1	0	0	0	[]	0	0
31	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1	0	0	0	[]	0	0
32	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1	0	0	0	[]	0	0
33	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1	0	0	0	[]	0	0
34	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1	0	0	0	[]	0	0
35	123457106	226	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1	0	0	0	[]	0	0
