day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457247	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457247	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457247	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
3	123457247	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
4	123457247	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
5	123457247	229	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
6	123457247	229	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
7	123457247	229	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
8	123457247	227	5	7	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
9	123457247	226	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	1
10	123457247	223	6	9	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
11	123457247	215	13	9	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
12	123457247	212	12	11	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
13	123457247	212	9	14	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	3
14	123457247	212	6	16	6	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	3
15	123457247	209	6	18	7	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	3
16	123457247	202	9	8	1	3	1	8	8	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
17	123457247	200	11	7	2	3	1	7	9	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
18	123457247	195	13	8	4	3	1	6	10	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
19	123457247	192	12	12	4	3	0	7	10	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
20	123457247	192	9	11	8	3	0	6	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
21	123457247	192	5	14	9	3	0	5	12	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
22	123457247	190	7	13	10	3	0	4	13	0	0	0	0	0	0	0	0	36	0	0	1	0	0	0	[3A]	1	3
23	123457247	188	6	13	13	3	0	4	13	0	0	0	0	0	0	0	0	47	0	0	1	0	0	0	[3A]	1	3
24	123457247	186	6	11	17	3	0	4	13	0	0	0	0	0	0	0	0	47	0	0	1	0	0	0	[3A]	1	3
25	123457247	185	6	12	17	3	0	3	14	0	0	0	0	0	0	0	0	58	0	0	1	0	0	0	[3A]	1	3
26	123457247	185	6	9	20	3	0	2	15	0	0	0	0	0	0	0	0	58	0	0	1	0	0	0	[3A]	1	3
27	123457247	185	2	12	21	3	0	1	16	0	0	0	0	0	0	0	0	58	0	0	1	0	0	0	[3A]	1	3
28	123457247	185	2	12	21	3	0	1	16	0	0	0	0	0	0	0	0	58	0	0	1	0	0	0	[3A]	1	3
29	123457247	185	2	11	22	3	0	1	16	0	0	0	0	0	0	0	0	58	0	0	1	0	0	0	[3A]	1	3
30	123457247	182	3	3	32	5	0	6	9	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	[1A]	1	2
31	123457247	182	2	3	33	5	0	5	10	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	[1A]	1	2
32	123457247	182	2	2	34	5	0	4	11	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	[1A]	1	2
33	123457247	182	2	2	34	5	0	3	12	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	[1A]	1	2
34	123457247	182	1	3	34	5	0	2	13	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	[1A]	1	3
35	123457247	182	1	3	34	5	0	2	13	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	[1A]	1	3
