day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457397	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457397	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123457397	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123457397	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
4	123457397	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
5	123457397	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
6	123457397	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	2
7	123457397	234	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	2
8	123457397	228	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	2
9	123457397	227	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	2
10	123457397	223	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
11	123457397	223	5	11	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	3
12	123457397	217	10	10	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	2
13	123457397	217	7	11	5	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	3
14	123457397	217	5	11	7	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	3
15	123457397	212	10	10	8	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	3
16	123457397	209	10	9	12	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	3
17	123457397	196	7	5	12	10	3	6	1	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	3
18	123457397	193	10	5	12	10	3	5	2	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	3
19	123457397	192	7	7	14	10	3	4	3	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	4
20	123457397	192	6	7	15	10	3	4	3	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	4
21	123457397	192	3	10	15	10	2	5	3	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	5
22	123457397	188	7	9	16	10	1	4	5	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	4
23	123457397	185	9	10	16	10	0	5	5	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2A]	1	4
24	123457397	184	6	12	18	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	4
25	123457397	178	12	11	19	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	4
26	123457397	175	13	11	21	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	4
27	123457397	175	9	12	24	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	5
28	123457397	175	7	13	25	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	5
29	123457397	173	7	14	26	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	5
30	123457397	172	8	12	28	10	0	2	8	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2A]	1	5
31	123457397	181	7	8	24	1	0	3	16	0	0	0	0	0	0	0	0	71	0	0	2	0	0	0	[1A]	1	4
32	123457397	179	7	10	24	1	0	2	17	0	0	0	0	0	0	0	0	71	0	0	2	0	0	0	[1A]	1	4
33	123457397	177	8	10	25	1	0	1	18	0	0	0	0	0	0	0	0	71	0	0	2	0	0	0	[1A]	1	4
34	123457397	177	7	9	27	1	0	1	18	0	0	0	0	0	0	0	0	71	0	0	2	0	0	0	[1A]	1	4
35	123457397	177	3	11	29	1	0	1	18	0	0	0	0	0	0	0	0	71	0	0	2	0	0	0	[1A]	1	4
