day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456949	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456949	229	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456949	217	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	0	[]	0	1
3	123456949	207	24	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	3	1	0	0	[]	0	2
4	123456949	198	26	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	6	2	0	0	[]	0	3
5	123456949	179	39	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	7	4	0	0	[]	0	3
6	123456949	179	31	26	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	6	4	1	0	[]	0	4
7	123456949	179	24	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	6	4	1	0	[]	0	7
8	123456949	132	64	32	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12	6	1	0	[]	0	6
9	123456949	97	78	45	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	16	7	2	0	[]	0	7
10	123456949	62	91	61	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	16	9	3	0	[]	0	10
11	123456949	26	98	80	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	19	10	5	0	[]	0	11
12	123456949	10	84	92	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	22	10	8	0	[]	0	12
13	123456949	10	58	106	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	12	10	0	[]	0	12
14	123456949	10	40	110	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	17	12	0	[]	0	12
15	123456949	0	33	111	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	15	15	0	[]	0	12
16	123456949	0	27	99	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	18	16	0	[]	0	12
17	123456949	0	19	90	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	20	18	0	[]	0	12
18	123456949	0	14	79	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	20	22	0	[]	0	12
19	123456949	0	9	72	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	21	24	0	[]	0	12
20	123456949	0	6	70	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	18	28	0	[]	0	12
21	123456949	0	5	62	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	12	34	0	[]	0	12
22	123456949	0	3	53	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	39	0	[]	0	12
23	123456949	0	2	49	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	40	0	[]	0	12
24	123456949	0	1	45	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	42	0	[]	0	12
25	123456949	0	1	38	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	43	0	[]	0	12
26	123456949	0	1	32	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	43	0	[]	0	11
27	123456949	0	1	30	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	45	0	[]	0	11
28	123456949	0	0	25	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	46	0	[]	0	10
29	123456949	0	0	25	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	46	0	[]	0	10
30	123456949	0	0	18	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	46	0	[]	0	8
31	123456949	0	0	17	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	0	[]	0	8
32	123456949	0	0	13	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	0	[]	0	7
33	123456949	0	0	13	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	48	0	[]	0	8
34	123456949	0	0	12	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	48	0	[]	0	7
35	123456949	0	0	9	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	48	0	[]	0	5
