day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457269	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457269	228	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	0	[]	0	1
2	123457269	220	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2	0	0	0	[]	0	1
3	123457269	214	18	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	5	0	0	0	[]	0	1
4	123457269	208	19	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	4	1	0	0	[]	0	2
5	123457269	190	32	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	7	2	0	0	[]	0	3
6	123457269	190	23	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	6	3	0	0	[]	0	3
7	123457269	190	16	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	6	2	1	0	[]	0	3
8	123457269	168	33	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	11	3	1	0	[]	0	4
9	123457269	142	48	31	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	4	1	0	[]	0	6
10	123457269	111	67	40	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	14	9	1	0	[]	0	7
11	123457269	88	68	55	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	11	14	2	0	[]	0	9
12	123457269	75	62	63	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	12	5	0	[]	0	8
13	123457269	75	44	76	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	13	6	0	[]	0	10
14	123457269	75	39	74	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	10	9	0	[]	0	10
15	123457269	46	55	80	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	13	11	0	[]	0	10
16	123457269	22	68	79	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	12	12	0	[]	0	11
17	123457269	5	68	88	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	13	15	0	[]	0	12
18	123457269	0	51	97	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	16	16	0	[]	0	12
19	123457269	0	35	98	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	17	18	0	[]	0	12
20	123457269	0	24	91	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	17	21	0	[]	0	12
21	123457269	0	15	92	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	16	24	0	[]	0	12
22	123457269	0	9	88	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	15	26	0	[]	0	12
23	123457269	0	7	85	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	16	26	0	[]	0	12
24	123457269	0	6	73	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	14	29	0	[]	0	12
25	123457269	0	3	69	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	15	31	0	[]	0	12
26	123457269	0	3	62	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	37	0	[]	0	12
27	123457269	0	3	54	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	37	0	[]	0	12
28	123457269	0	3	48	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	38	0	[]	0	12
29	123457269	0	2	42	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	39	0	[]	0	12
30	123457269	0	1	36	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	41	0	[]	0	12
31	123457269	0	1	32	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	42	0	[]	0	12
32	123457269	0	0	29	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	42	0	[]	0	12
33	123457269	0	0	25	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	43	0	[]	0	12
34	123457269	0	0	21	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	44	0	[]	0	10
35	123457269	0	0	19	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	45	0	[]	0	10
