day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456898	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456898	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456898	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	50	1	[]	0	0
4	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	50	1	[]	0	0
5	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	0	0	0	0	0	0	0	50	1	[]	0	0
6	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	0	50	1	[]	0	0
7	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	0	0	0	0	0	0	0	50	1	[]	0	0
8	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	1	[]	0	0
9	123456898	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	1	[]	0	1
10	123456898	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	48	5	0	0	0	0	0	0	0	50	1	[]	0	1
11	123456898	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	48	5	0	0	0	0	0	0	0	50	1	[]	0	1
12	123456898	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	0	0	0	50	1	[]	0	1
13	123456898	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	1	[]	0	1
14	123456898	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	1	[]	0	1
15	123456898	231	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	1	[]	0	1
16	123456898	226	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	1	[]	0	1
17	123456898	218	1	1	0	0	0	0	0	0	0	0	0	7	6	7	0	71	9	1	0	0	1	0	0	0	50	1	[3C]	1	2
18	123456898	217	2	1	0	0	0	0	0	0	0	0	0	7	3	10	0	71	10	1	0	0	1	0	0	0	50	1	[3C]	1	2
19	123456898	216	2	2	0	0	0	0	0	0	0	0	0	7	2	10	1	82	11	1	0	0	1	0	0	0	50	1	[3C]	1	2
20	123456898	216	2	2	0	0	0	0	0	0	0	0	0	7	2	7	4	82	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
21	123456898	216	2	2	0	0	0	0	0	0	0	0	0	7	1	8	4	82	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
22	123456898	213	4	2	1	0	0	0	0	0	0	0	0	7	1	5	7	82	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
23	123456898	213	4	1	2	0	0	0	0	0	0	0	0	7	1	4	8	82	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
24	123456898	213	3	2	2	0	0	0	0	0	0	0	0	7	1	4	8	104	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
25	123456898	213	3	2	2	0	0	0	0	0	0	0	0	7	1	4	8	104	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
26	123456898	213	3	2	2	0	0	0	0	0	0	0	0	7	1	3	9	115	12	1	0	0	1	0	0	0	50	1	[3C]	1	2
27	123456898	213	1	4	2	0	0	0	0	0	0	0	0	7	0	2	11	115	13	1	0	0	1	0	0	0	50	1	[3C]	1	2
28	123456898	213	1	2	4	0	0	0	0	0	0	0	0	7	0	2	11	115	13	1	0	0	1	0	0	0	50	1	[3C]	1	2
29	123456898	200	0	0	0	0	0	0	0	0	0	0	0	20	1	3	16	115	13	2	0	0	2	0	0	0	50	1	[3C 2C]	2	2
