day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	0	0	0	0	50	0	[]	0	0
6	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	0	[]	0	0
7	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	6	0	0	0	0	0	0	0	50	0	[]	0	0
8	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	6	0	0	0	0	0	0	0	50	0	[]	0	0
9	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	7	0	0	0	0	0	0	0	50	0	[]	0	0
10	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	7	0	0	0	0	0	0	0	50	0	[]	0	0
11	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	8	0	0	0	0	0	0	0	50	0	[]	0	0
12	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	9	0	0	0	0	0	0	0	50	0	[]	0	0
13	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	11	0	0	0	0	0	0	0	50	0	[]	0	0
14	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	11	0	0	0	0	0	0	0	50	0	[]	0	0
15	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	12	0	0	0	0	0	0	0	50	0	[]	0	0
16	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	14	0	0	0	0	0	0	0	50	0	[]	0	0
17	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	14	0	0	0	0	0	0	0	50	0	[]	0	0
18	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	14	0	0	0	0	0	0	0	50	0	[]	0	0
19	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	14	0	0	0	0	0	0	0	50	0	[]	0	0
20	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	14	0	0	0	0	0	0	0	50	0	[]	0	0
21	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	15	0	0	0	0	0	0	0	50	0	[]	0	0
22	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	16	0	0	0	0	0	0	0	50	0	[]	0	0
23	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	17	0	0	0	0	0	0	0	50	0	[]	0	0
24	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	18	0	0	0	0	0	0	0	50	0	[]	0	0
25	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	18	0	0	0	0	0	0	0	50	0	[]	0	0
26	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	18	0	0	0	0	0	0	0	50	0	[]	0	0
27	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	21	0	0	0	0	0	0	0	50	0	[]	0	0
28	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	21	0	0	0	0	0	0	0	50	0	[]	0	0
29	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	22	0	0	0	0	0	0	0	50	0	[]	0	0
30	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	24	0	0	0	0	0	0	0	50	0	[]	0	0
31	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	25	0	0	0	0	0	0	0	50	0	[]	0	0
32	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	26	0	0	0	0	0	0	0	50	0	[]	0	0
33	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	27	0	0	0	0	0	0	0	50	0	[]	0	0
34	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	28	0	0	0	0	0	0	0	50	0	[]	0	0
35	123456798	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	28	0	0	0	0	0	0	0	50	0	[]	0	0
