day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456830	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456830	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	[]	0	0
2	123456830	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	2	[]	0	1
3	123456830	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	2	[]	0	1
4	123456830	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	3	[]	0	2
5	123456830	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	3	[]	0	2
6	123456830	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	3	[]	0	3
7	123456830	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	4	[]	0	2
8	123456830	229	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	5	[]	0	2
9	123456830	225	9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	5	[]	0	3
10	123456830	222	8	9	1	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	5	[]	0	3
11	123456830	213	3	3	1	0	0	0	0	0	0	0	0	8	5	5	2	23	5	1	0	0	1	0	0	0	50	5	[3D]	1	3
12	123456830	212	3	3	2	0	0	0	0	0	0	0	0	8	3	6	3	23	6	1	0	0	1	0	0	0	50	5	[3D]	1	3
13	123456830	211	2	5	2	0	0	0	0	0	0	0	0	8	3	6	3	23	6	1	0	0	1	0	0	0	50	6	[3D]	1	3
14	123456830	210	2	6	2	0	0	0	0	0	0	0	0	8	1	7	4	23	6	1	0	0	1	0	0	0	50	7	[3D]	1	3
15	123456830	201	9	7	3	0	0	0	0	0	0	0	0	8	0	6	6	23	7	1	0	0	1	0	0	0	50	8	[3D]	1	5
16	123456830	198	9	10	3	0	0	0	0	0	0	0	0	8	0	6	6	23	7	1	0	0	1	0	0	0	50	8	[3D]	1	5
17	123456830	191	14	10	5	0	0	0	0	0	0	0	0	8	0	5	7	23	7	1	0	0	1	0	0	0	50	8	[3D]	1	6
18	123456830	183	19	13	5	0	0	0	0	0	0	0	0	8	0	5	7	34	7	1	0	0	1	0	0	0	50	9	[3D]	1	6
19	123456830	175	24	16	5	0	0	0	0	0	0	0	0	8	0	3	9	34	7	1	0	0	1	0	0	0	50	9	[3D]	1	6
20	123456830	175	17	22	6	0	0	0	0	0	0	0	0	8	0	3	9	34	7	1	0	0	1	0	0	0	50	9	[3D]	1	6
21	123456830	175	9	28	8	0	0	0	0	0	0	0	0	8	0	3	9	34	7	1	0	0	1	0	0	0	50	9	[3D]	1	6
22	123456830	166	13	30	11	0	0	0	0	0	0	0	0	8	0	3	9	34	8	1	0	0	1	0	0	0	50	9	[3D]	1	6
23	123456830	157	20	27	16	0	0	0	0	0	0	0	0	8	0	3	9	34	10	1	0	0	1	0	0	0	50	9	[3D]	1	6
24	123456830	148	24	27	21	0	0	0	0	0	0	0	0	8	0	3	9	34	11	1	0	0	1	0	0	0	50	9	[3D]	1	6
25	123456830	121	5	1	13	33	14	30	23	0	0	0	0	0	0	0	0	46	11	1	5	0	1	0	0	0	50	9	[1D 2B 2C 2D 3B]	5	6
26	123456830	118	6	3	13	33	7	34	26	0	0	0	0	0	0	0	0	46	11	1	5	0	1	0	0	0	50	9	[1D 2B 2C 2D 3B]	5	7
27	123456830	118	4	5	13	33	4	30	33	0	0	0	0	0	0	0	0	46	11	1	5	0	1	0	0	0	50	9	[1D 2B 2C 2D 3B]	5	7
28	123456830	103	2	2	13	33	2	24	41	0	0	0	0	15	2	3	0	46	11	2	5	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B]	6	7
29	123456830	102	2	3	13	33	0	24	43	0	0	0	0	15	2	3	0	46	11	2	5	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B]	6	7
30	123456830	101	2	3	14	33	0	21	46	0	0	0	0	15	0	4	1	46	11	2	5	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B]	6	7
31	123456830	101	2	2	15	33	0	20	47	0	0	0	0	15	0	4	1	46	11	2	5	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B]	6	7
32	123456830	87	0	0	13	47	2	19	52	0	0	0	0	15	0	4	1	52	12	2	6	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B 1C]	7	7
33	123456830	87	0	0	13	47	0	18	55	0	0	0	0	15	0	3	2	52	13	2	6	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B 1C]	7	7
34	123456830	87	0	0	13	47	0	14	59	0	0	0	0	15	0	3	2	52	14	2	6	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B 1C]	7	7
35	123456830	87	0	0	13	47	0	10	63	0	0	0	0	15	0	2	3	52	14	2	6	0	2	0	0	0	50	9	[1D 2B 2C 2D 3B 1B 1C]	7	7
