day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456980	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456980	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456980	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	[]	0	0
3	123456980	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	[]	0	0
4	123456980	220	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	24	1	0	1	0	0	0	0	0	50	1	[3B]	1	1
5	123456980	220	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	24	1	0	1	0	0	0	0	0	50	1	[3B]	1	1
6	123456980	220	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	24	2	0	1	0	0	0	0	0	50	1	[3B]	1	1
7	123456980	219	1	0	0	19	0	1	0	0	0	0	0	0	0	0	0	24	3	0	1	0	0	0	0	0	50	2	[3B]	1	1
8	123456980	219	1	0	0	19	0	1	0	0	0	0	0	0	0	0	0	24	3	0	1	0	0	0	0	0	50	2	[3B]	1	1
9	123456980	218	1	1	0	19	0	0	1	0	0	0	0	0	0	0	0	24	4	0	1	0	0	0	0	0	50	3	[3B]	1	1
10	123456980	218	1	0	1	19	0	0	1	0	0	0	0	0	0	0	0	24	4	0	1	0	0	0	0	0	50	3	[3B]	1	0
11	123456980	218	1	0	1	19	0	0	1	0	0	0	0	0	0	0	0	46	4	0	1	0	0	0	0	0	50	3	[3B]	1	0
12	123456980	217	2	0	1	19	0	0	1	0	0	0	0	0	0	0	0	46	6	0	1	0	0	0	0	0	50	4	[3B]	1	0
13	123456980	217	1	1	1	19	0	0	1	0	0	0	0	0	0	0	0	46	8	0	1	0	0	0	0	0	50	4	[3B]	1	1
14	123456980	216	2	1	1	19	0	0	1	0	0	0	0	0	0	0	0	46	11	0	1	0	0	0	0	0	50	5	[3B]	1	1
