day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456900	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456900	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123456900	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123456900	213	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
4	123456900	211	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
5	123456900	203	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
6	123456900	203	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
7	123456900	203	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
8	123456900	194	3	1	0	7	5	6	0	0	0	0	0	0	0	0	0	139	4	0	6	0	0	71	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	2
9	123456900	190	6	2	0	7	4	7	0	0	0	0	0	0	0	0	0	139	4	0	6	0	0	70	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	3
10	123456900	190	4	2	1	7	2	9	0	0	0	1	0	0	0	0	0	158	5	0	6	1	0	68	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	4
11	123456900	187	7	2	1	7	0	11	0	0	0	1	0	0	0	0	0	158	6	0	6	1	0	68	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	4
12	123456900	179	14	3	1	7	0	10	1	0	0	1	0	0	0	0	0	158	7	0	6	1	0	68	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	5
13	123456900	179	10	7	1	7	0	8	3	0	0	1	0	0	0	0	0	158	8	0	6	1	0	68	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	6
14	123456900	179	7	6	5	7	0	8	3	0	0	1	0	0	0	0	0	158	9	0	6	1	0	68	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	4	[2D]	1	6
15	123456900	152	4	1	4	32	3	11	8	0	0	1	0	0	0	0	0	251	10	0	12	1	0	64	1	1	2	5	0	1	0	0	0	0	0	0	0	0	0	4	[2D 1D 3D]	3	5
16	123456900	148	7	2	4	32	2	11	9	0	0	0	1	0	0	0	0	251	11	0	12	1	0	64	1	1	2	5	0	1	0	0	0	0	0	0	0	0	0	4	[2D 1D 3D]	3	4
17	123456900	144	9	4	4	32	2	9	11	0	0	0	1	0	0	0	0	251	12	0	12	1	0	63	2	1	2	5	0	1	0	0	0	0	0	0	0	0	0	4	[2D 1D 3D]	3	5
