day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457047	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457047	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457047	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
3	123457047	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
4	123457047	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
5	123457047	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
6	123457047	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
7	123457047	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
8	123457047	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
9	123457047	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
10	123457047	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
11	123457047	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
12	123457047	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
13	123457047	236	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	3
14	123457047	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
15	123457047	234	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
16	123457047	218	0	1	1	16	2	1	0	0	0	1	0	0	0	0	0	19	12	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[3D]	1	2
17	123457047	218	0	0	2	16	1	2	0	0	0	1	0	0	0	0	0	19	13	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[3D]	1	1
18	123457047	218	0	0	2	16	1	2	0	0	0	1	0	0	0	0	0	19	13	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[3D]	1	1
19	123457047	218	0	0	2	16	1	2	0	0	0	1	0	0	0	0	0	19	13	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[3D]	1	1
20	123457047	217	1	0	2	16	1	2	0	0	0	1	0	0	0	0	0	19	16	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[3D]	1	1
21	123457047	217	0	1	2	16	1	1	1	0	0	1	0	0	0	0	0	19	16	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[3D]	1	2
22	123457047	215	2	1	2	16	0	2	1	0	0	0	1	0	0	0	0	19	16	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	6	[3D]	1	2
23	123457047	212	3	3	2	16	0	2	1	0	0	0	1	0	0	0	0	19	16	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	7	[3D]	1	4
24	123457047	210	5	3	2	16	0	2	1	0	0	0	1	0	0	0	0	19	16	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	7	[3D]	1	4
25	123457047	204	9	5	2	16	0	2	1	0	0	0	1	0	0	0	0	19	17	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	7	[3D]	1	5
26	123457047	196	13	8	3	16	0	0	3	0	0	0	1	0	0	0	0	19	17	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[3D]	1	4
27	123457047	196	11	9	4	16	0	0	3	0	0	0	1	0	0	0	0	19	17	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[3D]	1	4
28	123457047	196	8	11	5	16	0	0	3	0	0	0	1	0	0	0	0	19	18	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[3D]	1	4
29	123457047	187	14	13	6	16	0	0	3	0	0	0	1	0	0	0	0	19	18	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[3D]	1	3
30	123457047	197	17	15	11	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	4
31	123457047	189	18	19	14	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	5
32	123457047	185	19	21	15	0	0	0	0	0	0	0	0	0	0	0	0	19	20	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	5
33	123457047	180	19	22	19	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	6
34	123457047	180	14	21	25	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	7
35	123457047	180	9	21	30	0	0	0	0	0	0	0	0	0	0	0	0	19	22	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	7
36	123457047	172	16	21	31	0	0	0	0	0	0	0	0	0	0	0	0	19	23	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	7
37	123457047	166	17	25	32	0	0	0	0	0	0	0	0	0	0	0	0	19	24	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	7
38	123457047	158	20	28	34	0	0	0	0	0	0	0	0	0	0	0	0	19	26	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	7
39	123457047	153	20	32	35	0	0	0	0	0	0	0	0	0	0	0	0	19	28	0	1	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	7
