day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456931	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456931	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123456931	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
3	123456931	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
4	123456931	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
5	123456931	213	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
6	123456931	213	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
7	123456931	212	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	1
8	123456931	206	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	2
9	123456931	201	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	2
10	123456931	200	11	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	1
11	123456931	198	10	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	2
12	123456931	196	9	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	72	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	4
13	123456931	195	9	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	0	0	1	72	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	4
14	123456931	195	5	14	1	0	0	0	0	0	0	0	0	0	0	1	0	0	9	1	0	0	1	72	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	4
15	123456931	187	12	13	3	0	0	0	0	0	0	0	0	0	0	1	0	0	10	1	0	0	1	72	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	4
16	123456931	173	23	15	4	0	0	0	0	0	0	0	0	0	0	1	0	0	10	1	0	0	1	72	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	5
17	123456931	158	32	20	5	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	0	1	71	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	5
18	123456931	145	37	27	6	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	0	1	70	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	5
19	123456931	126	41	36	12	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	0	1	68	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	6
20	123456931	126	34	35	19	0	0	0	0	0	0	0	0	0	0	2	0	0	13	2	0	0	2	68	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	7
21	123456931	126	21	42	25	0	0	0	0	0	0	0	0	0	0	2	0	0	14	2	0	0	2	68	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	7
22	123456931	112	30	46	26	0	0	0	0	0	0	0	0	0	0	1	1	0	14	2	0	0	2	67	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	8
23	123456931	100	33	50	31	0	0	0	0	0	0	0	0	0	0	1	1	0	14	2	0	0	2	66	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	8
24	123456931	83	37	55	37	0	0	0	0	0	0	0	0	0	0	3	1	0	16	4	0	0	4	62	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	8
25	123456931	70	40	52	50	0	0	0	0	0	0	0	0	0	0	2	2	0	16	4	0	0	4	61	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	8
26	123456931	62	35	59	55	0	0	0	0	0	0	1	0	0	0	2	2	0	17	4	0	1	4	60	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	11
27	123456931	62	30	55	63	0	0	0	0	0	0	1	0	0	0	4	1	0	17	6	0	1	6	60	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	10
28	123456931	62	23	56	69	0	0	0	0	0	0	1	0	0	0	4	1	0	18	6	0	1	6	60	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	11
29	123456931	48	28	59	75	0	0	0	0	0	0	1	0	0	0	4	1	0	20	6	0	1	6	59	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
30	123456931	37	33	51	88	0	0	0	0	0	0	1	0	0	0	5	1	0	20	7	0	1	7	58	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	11
31	123456931	27	33	57	92	0	0	0	0	0	0	1	0	0	0	4	2	0	21	7	0	1	7	58	3	7	6	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
32	123456931	19	29	62	97	0	0	0	0	0	0	3	0	0	0	4	2	0	23	7	0	3	7	57	3	7	7	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
33	123456931	12	30	56	108	0	0	0	0	0	0	3	0	0	0	3	4	0	25	8	0	3	8	56	3	7	8	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
34	123456931	12	23	51	121	0	0	0	0	0	0	3	0	0	0	2	4	0	25	8	0	3	8	56	3	4	11	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
35	123456931	12	17	47	130	0	0	0	0	0	0	3	0	0	0	3	4	0	25	9	0	3	9	56	3	3	12	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
36	123456931	7	16	47	135	0	0	0	0	0	0	2	1	0	0	4	4	0	26	10	0	3	10	53	6	3	12	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
37	123456931	2	16	44	142	0	0	0	0	0	0	2	1	0	0	4	5	0	26	11	0	3	11	52	6	4	12	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
38	123456931	2	12	41	150	0	0	0	0	0	0	3	1	0	0	2	5	0	28	11	0	4	11	52	3	7	12	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
39	123456931	1	9	41	153	0	0	0	0	0	0	3	1	0	0	3	5	0	28	12	0	4	12	52	3	5	14	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	12
40	123456931	1	5	38	160	0	0	0	0	0	0	2	1	0	0	4	5	0	28	13	0	4	13	50	3	6	15	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	11
41	123456931	1	5	35	164	0	0	0	0	0	0	2	2	0	0	4	3	0	30	13	0	5	13	50	3	6	15	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	11
42	123456931	1	3	33	168	0	0	0	0	0	0	1	3	0	0	2	5	0	31	13	0	5	13	50	2	5	17	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	10
43	123456931	1	3	29	172	0	0	0	0	0	0	1	3	0	0	2	5	0	32	13	0	5	13	48	4	4	18	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	9
44	123456931	1	2	24	179	0	0	0	0	0	0	1	3	0	0	1	5	0	33	13	0	5	13	47	4	4	19	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	9
45	123456931	0	2	18	186	0	0	0	0	0	0	1	3	0	0	0	6	0	33	13	0	5	13	45	5	5	19	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	9
46	123456931	0	2	14	190	0	0	0	0	0	0	1	1	0	0	2	6	0	34	15	0	5	15	45	2	6	21	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	8
47	123456931	0	2	11	194	0	0	0	0	0	0	1	1	0	0	2	5	0	35	15	0	5	15	45	2	5	22	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	7
48	123456931	0	2	9	196	0	0	0	0	0	0	1	1	0	0	2	5	0	37	15	0	6	15	45	2	2	24	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	7
49	123456931	0	1	10	197	0	0	0	0	0	0	1	1	0	0	1	5	0	37	15	0	6	15	45	2	2	24	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	7
50	123456931	0	1	9	199	0	0	0	0	0	0	1	1	0	0	1	4	0	37	15	0	6	15	45	1	3	24	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	7
51	123456931	0	1	7	202	0	0	0	0	0	0	1	1	0	0	1	3	0	37	15	0	6	15	45	1	2	25	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	6
52	123456931	0	1	6	204	0	0	0	0	0	0	1	0	0	0	1	3	0	37	15	0	6	15	44	2	1	26	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	5
53	123456931	0	1	6	205	0	0	0	0	0	0	0	1	0	0	0	3	0	38	15	0	6	15	44	2	1	26	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	4
54	123456931	0	0	5	208	0	0	0	0	0	0	0	1	0	0	0	2	0	38	15	0	6	15	44	1	2	26	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	5
55	123456931	0	0	4	210	0	0	0	0	0	0	0	0	0	0	0	2	0	40	15	0	6	15	44	0	3	26	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	4
56	123456931	0	0	4	210	0	0	0	0	0	0	0	0	0	0	0	2	0	41	15	0	6	15	44	0	2	27	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	4
57	123456931	0	0	4	210	0	0	0	0	0	0	0	0	0	0	0	2	0	41	15	0	6	15	44	0	2	27	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	4
58	123456931	0	0	4	210	0	0	0	0	0	0	0	0	0	0	0	2	0	42	15	0	6	15	43	1	2	27	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	4
59	123456931	0	0	3	211	0	0	0	0	0	0	0	0	0	0	0	2	0	42	15	0	6	15	43	0	3	27	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	4
60	123456931	0	0	2	214	0	0	0	0	0	0	0	0	0	0	0	0	0	42	15	0	6	15	43	0	3	27	0	0	0	0	0	0	1	0	0	0	0	0	7	[]	0	3
