day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456877	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456877	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123456877	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
3	123456877	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
4	123456877	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
5	123456877	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
6	123456877	143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
7	123456877	143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
8	123456877	143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
9	123456877	142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
10	123456877	142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	0
11	123456877	142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	0
12	123456877	142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	0
13	123456877	142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	0
14	123456877	142	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	1
15	123456877	140	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	1
16	123456877	136	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	143	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	2
17	123456877	134	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	143	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	2
18	123456877	134	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	142	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	[]	0	2
19	123456877	129	8	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	142	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	[]	0	3
20	123456877	129	7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	141	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	[]	0	3
21	123456877	129	3	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	140	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	5
22	123456877	119	11	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	139	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	6
23	123456877	115	11	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	138	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	6
24	123456877	110	12	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	134	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	9	[]	0	6
25	123456877	99	15	13	5	4	2	4	1	0	0	0	0	0	0	1	0	19	19	1	5	0	1	125	6	5	2	7	0	1	0	0	0	0	0	0	0	0	0	9	[1B]	1	6
26	123456877	91	17	11	1	4	4	8	6	0	0	0	0	0	0	2	0	38	19	2	9	0	2	118	4	6	2	13	2	1	0	0	0	0	0	0	0	0	0	9	[1B 1D]	2	6
27	123456877	91	13	15	1	4	4	7	7	0	0	0	0	0	0	1	1	38	19	2	9	0	2	118	3	7	2	13	1	2	0	0	0	0	0	0	0	0	0	9	[1B 1D]	2	6
28	123456877	84	7	16	1	11	6	9	7	0	0	0	0	0	0	2	1	57	19	3	12	0	3	112	2	6	2	19	1	3	1	0	0	0	0	0	0	0	0	9	[1B 1D 3A]	3	6
