day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456877	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456877	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456877	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	3	[]	0	0
3	123456877	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	5	[]	0	1
4	123456877	231	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	8	[]	0	2
5	123456877	228	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	11	[]	0	2
6	123456877	227	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	12	[]	0	3
7	123456877	225	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	14	[]	0	4
8	123456877	171	4	3	2	52	0	6	2	0	0	0	0	0	0	0	0	240	5	0	5	0	0	0	0	0	50	14	[1A 3A 3C]	3	5
9	123456877	171	4	3	2	52	0	6	2	0	0	0	0	0	0	0	0	240	5	0	5	0	0	0	0	0	50	14	[1A 3A 3C]	3	5
10	123456877	170	4	2	4	52	0	6	2	0	0	0	0	0	0	0	0	240	6	0	5	0	0	0	0	0	50	14	[1A 3A 3C]	3	5
11	123456877	167	6	3	4	52	0	5	3	0	0	0	0	0	0	0	0	240	7	0	5	0	0	0	0	0	50	16	[1A 3A 3C]	3	4
12	123456877	163	8	4	5	52	0	3	5	0	0	0	0	0	0	0	0	240	7	0	5	0	0	0	0	0	50	18	[1A 3A 3C]	3	4
13	123456877	163	5	7	5	52	0	2	6	0	0	0	0	0	0	0	0	240	7	0	5	0	0	0	0	0	50	18	[1A 3A 3C]	3	6
14	123456877	163	5	5	7	52	0	2	6	0	0	0	0	0	0	0	0	240	7	0	5	0	0	0	0	0	50	18	[1A 3A 3C]	3	6
15	123456877	115	2	1	2	97	4	8	11	0	0	0	0	0	0	0	0	330	8	0	8	0	0	0	0	0	50	21	[1A 3A 3C 1B 2B 3B]	6	6
16	123456877	113	4	0	3	97	3	8	12	0	0	0	0	0	0	0	0	330	9	0	8	0	0	0	0	0	50	23	[1A 3A 3C 1B 2B 3B]	6	4
17	123456877	113	2	2	3	97	3	7	13	0	0	0	0	0	0	0	0	330	9	0	8	0	0	0	0	0	50	23	[1A 3A 3C 1B 2B 3B]	6	6
18	123456877	110	4	3	3	97	2	7	14	0	0	0	0	0	0	0	0	330	9	0	8	0	0	0	0	0	50	23	[1A 3A 3C 1B 2B 3B]	6	6
19	123456877	106	8	3	3	97	2	6	15	0	0	0	0	0	0	0	0	330	10	0	8	0	0	0	0	0	50	25	[1A 3A 3C 1B 2B 3B]	6	6
20	123456877	106	7	4	3	97	2	6	15	0	0	0	0	0	0	0	0	330	10	0	8	0	0	0	0	0	50	25	[1A 3A 3C 1B 2B 3B]	6	7
21	123456877	103	6	8	3	97	2	5	16	0	0	0	0	0	0	0	0	330	10	0	8	0	0	0	0	0	50	28	[1A 3A 3C 1B 2B 3B]	6	7
22	123456877	91	1	0	8	108	5	13	14	0	0	0	0	0	0	0	0	420	12	0	13	0	0	0	0	0	50	29	[1B 2B 3B 1D 2A 2D 3D]	7	6
23	123456877	90	1	1	8	108	5	12	15	0	0	0	0	0	0	0	0	420	12	0	13	0	0	0	0	0	50	30	[1B 2B 3B 1D 2A 2D 3D]	7	7
24	123456877	89	1	2	8	108	5	9	18	0	0	0	0	0	0	0	0	420	12	0	13	0	0	0	0	0	50	31	[1B 2B 3B 1D 2A 2D 3D]	7	7
25	123456877	89	1	2	8	108	3	9	20	0	0	0	0	0	0	0	0	420	13	0	13	0	0	0	0	0	50	31	[1B 2B 3B 1D 2A 2D 3D]	7	7
26	123456877	85	5	2	8	108	2	9	21	0	0	0	0	0	0	0	0	420	14	0	13	0	0	0	0	0	50	34	[1B 2B 3B 1D 2A 2D 3D]	7	6
27	123456877	85	3	4	8	108	2	9	21	0	0	0	0	0	0	0	0	420	15	0	13	0	0	0	0	0	50	34	[1B 2B 3B 1D 2A 2D 3D]	7	7
28	123456877	81	6	4	9	108	2	6	24	0	0	0	0	0	0	0	0	420	15	0	13	0	0	0	0	0	50	38	[1B 2B 3B 1D 2A 2D 3D]	7	6
29	123456877	105	7	4	24	80	3	7	10	0	0	0	0	0	0	0	0	500	15	0	14	0	0	0	0	0	50	40	[1D 2A 2D 3D 1C]	5	7
30	123456877	100	11	5	24	80	3	7	10	0	0	0	0	0	0	0	0	500	17	0	14	0	0	0	0	0	50	41	[1D 2A 2D 3D 1C]	5	7
31	123456877	96	13	6	25	80	2	7	11	0	0	0	0	0	0	0	0	500	18	0	14	0	0	0	0	0	50	41	[1D 2A 2D 3D 1C]	5	7
32	123456877	91	14	8	27	80	1	8	11	0	0	0	0	0	0	0	0	500	18	0	14	0	0	0	0	0	50	41	[1D 2A 2D 3D 1C]	5	8
33	123456877	66	6	5	23	80	1	8	11	11	3	4	2	11	1	6	2	500	19	1	14	1	1	0	0	0	50	41	[1D 2A 2D 3D 1C 3A 2C]	7	9
34	123456877	65	5	7	23	80	0	9	11	11	3	4	2	11	0	6	3	500	21	1	14	1	1	0	0	0	50	42	[1D 2A 2D 3D 1C 3A 2C]	7	9
35	123456877	65	3	9	23	80	0	9	11	11	3	4	2	11	0	4	5	500	21	1	14	1	1	0	0	0	50	42	[1D 2A 2D 3D 1C 3A 2C]	7	9
