day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456880	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456880	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	4	[]	0	0
2	123456880	235	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	5	[]	0	0
3	123456880	232	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	8	[]	0	2
4	123456880	191	7	2	0	38	0	2	0	0	0	0	0	0	0	0	0	120	1	0	2	0	0	0	0	0	50	10	[1C 2C]	2	4
5	123456880	182	14	4	0	38	0	2	0	0	0	0	0	0	0	0	0	120	1	0	2	0	0	0	0	0	50	15	[1C 2C]	2	5
6	123456880	180	11	9	0	38	0	2	0	0	0	0	0	0	0	0	0	120	1	0	2	0	0	0	0	0	50	17	[1C 2C]	2	7
7	123456880	179	10	10	1	38	0	2	0	0	0	0	0	0	0	0	0	120	1	0	2	0	0	0	0	0	50	18	[1C 2C]	2	7
8	123456880	168	18	13	1	38	0	2	0	0	0	0	0	0	0	0	0	120	1	0	2	0	0	0	0	0	50	20	[1C 2C]	2	9
9	123456880	152	27	17	4	38	0	1	1	0	0	0	0	0	0	0	0	120	1	0	2	0	0	0	0	0	50	22	[1C 2C]	2	9
10	123456880	147	25	19	9	38	0	1	1	0	0	0	0	0	0	0	0	120	2	0	2	0	0	0	0	0	50	22	[1C 2C]	2	8
11	123456880	70	7	1	2	114	12	24	10	0	0	0	0	0	0	0	0	220	2	0	17	0	0	0	0	0	50	22	[1C 2C 1B 1D 2B 2D 3A 3B]	8	8
12	123456880	68	5	4	3	114	12	22	12	0	0	0	0	0	0	0	0	220	2	0	17	0	0	0	0	0	50	23	[1C 2C 1B 1D 2B 2D 3A 3B]	8	10
13	123456880	67	5	3	5	114	9	21	16	0	0	0	0	0	0	0	0	220	2	0	17	0	0	0	0	0	50	24	[1C 2C 1B 1D 2B 2D 3A 3B]	8	10
14	123456880	67	5	3	5	114	8	20	18	0	0	0	0	0	0	0	0	220	3	0	17	0	0	0	0	0	50	24	[1C 2C 1B 1D 2B 2D 3A 3B]	8	10
15	123456880	63	7	5	5	114	6	18	22	0	0	0	0	0	0	0	0	220	4	0	17	0	0	0	0	0	50	26	[1C 2C 1B 1D 2B 2D 3A 3B]	8	10
16	123456880	60	10	4	6	114	5	16	25	0	0	0	0	0	0	0	0	220	4	0	17	0	0	0	0	0	50	26	[1C 2C 1B 1D 2B 2D 3A 3B]	8	9
17	123456880	57	12	5	6	114	3	16	27	0	0	0	0	0	0	0	0	220	4	0	17	0	0	0	0	0	50	26	[1C 2C 1B 1D 2B 2D 3A 3B]	8	10
18	123456880	66	6	1	7	104	8	19	29	0	0	0	0	0	0	0	0	280	4	0	19	0	0	0	0	0	50	27	[1B 1D 2B 2D 3A 3B 2A 3D]	8	9
