day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456923	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456923	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456923	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	50	4	[]	0	0
3	123456923	233	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	50	4	[]	0	1
4	123456923	230	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	50	7	[]	0	1
5	123456923	225	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	50	11	[]	0	3
6	123456923	225	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	50	11	[]	0	4
7	123456923	225	5	7	3	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	11	[]	0	6
8	123456923	221	9	6	4	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	12	[]	0	5
9	123456923	150	7	2	1	66	3	8	3	0	0	0	0	0	0	0	0	240	2	0	5	0	0	0	0	0	50	15	[1A 2A 2D 3C]	4	6
10	123456923	146	9	4	1	66	2	9	3	0	0	0	0	0	0	0	0	240	2	0	5	0	0	0	0	0	50	16	[1A 2A 2D 3C]	4	7
11	123456923	141	12	6	1	66	2	6	6	0	0	0	0	0	0	0	0	240	2	0	5	0	0	0	0	0	50	18	[1A 2A 2D 3C]	4	8
12	123456923	135	17	7	1	66	2	5	7	0	0	0	0	0	0	0	0	240	3	0	5	0	0	0	0	0	50	21	[1A 2A 2D 3C]	4	7
13	123456923	134	16	7	3	66	1	5	8	0	0	0	0	0	0	0	0	240	3	0	5	0	0	0	0	0	50	22	[1A 2A 2D 3C]	4	7
14	123456923	133	15	8	4	66	0	5	9	0	0	0	0	0	0	0	0	240	4	0	5	0	0	0	0	0	50	23	[1A 2A 2D 3C]	4	7
15	123456923	121	22	12	5	66	0	4	10	0	0	0	0	0	0	0	0	240	4	0	5	0	0	0	0	0	50	24	[1A 2A 2D 3C]	4	7
16	123456923	53	4	1	2	130	15	20	15	0	0	0	0	0	0	0	0	320	4	0	13	0	0	0	0	0	50	25	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	8
17	123456923	52	4	2	2	130	8	23	19	0	0	0	0	0	0	0	0	320	4	0	13	0	0	0	0	0	50	25	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	8
18	123456923	51	5	2	2	130	5	21	24	0	0	0	0	0	0	0	0	320	4	0	13	0	0	0	0	0	50	26	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	8
19	123456923	47	9	2	2	130	4	19	27	0	0	0	0	0	0	0	0	320	5	0	13	0	0	0	0	0	50	27	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	8
20	123456923	46	9	3	2	130	3	17	30	0	0	0	0	0	0	0	0	320	5	0	13	0	0	0	0	0	50	28	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	9
21	123456923	45	8	3	4	130	2	16	32	0	0	0	0	0	0	0	0	320	5	0	13	0	0	0	0	0	50	29	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	9
22	123456923	41	10	4	5	130	2	14	34	0	0	0	0	0	0	0	0	320	5	0	13	0	0	0	0	0	50	29	[1A 2A 2D 3C 1B 1C 2B 2C 3B]	9	10
23	123456923	80	2	3	15	91	6	16	27	0	0	0	0	0	0	0	0	390	5	0	16	0	0	0	0	0	50	29	[1B 1C 2B 2C 3B 3A 3D]	7	8
24	123456923	76	5	4	15	91	3	17	29	0	0	0	0	0	0	0	0	390	5	0	16	0	0	0	0	0	50	30	[1B 1C 2B 2C 3B 3A 3D]	7	8
25	123456923	76	5	4	15	91	2	17	30	0	0	0	0	0	0	0	0	390	5	0	16	0	0	0	0	0	50	30	[1B 1C 2B 2C 3B 3A 3D]	7	8
