day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456949	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456949	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	4	[]	0	0
2	123456949	234	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	6	[]	0	0
3	123456949	230	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	9	[]	0	2
4	123456949	225	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	50	11	[]	0	5
5	123456949	217	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0	50	12	[]	0	5
6	123456949	213	16	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	50	16	[]	0	6
7	123456949	182	7	11	0	0	0	0	0	0	0	0	0	29	3	7	1	12	10	2	0	0	2	0	0	0	50	18	[1D 2A]	2	7
8	123456949	171	18	11	0	0	0	0	0	0	0	0	0	29	1	8	2	22	12	2	0	0	2	0	0	0	50	23	[1D 2A]	2	7
9	123456949	154	28	17	1	0	0	0	0	0	0	0	0	29	0	9	2	22	15	2	0	0	2	0	0	0	50	24	[1D 2A]	2	10
10	123456949	128	30	16	6	0	0	0	0	0	0	0	0	46	0	8	6	22	15	3	0	0	3	0	0	0	50	26	[1D 2A 3C]	3	9
11	123456949	115	36	22	7	0	0	0	0	0	0	0	0	46	0	7	7	22	15	3	0	0	3	0	0	0	50	28	[1D 2A 3C]	3	9
12	123456949	106	35	32	7	0	0	0	0	0	0	0	0	46	0	7	7	22	15	3	0	0	3	0	0	0	50	28	[1D 2A 3C]	3	12
13	123456949	104	23	39	14	0	0	0	0	0	0	0	0	46	0	6	8	22	15	3	0	0	3	0	0	0	50	30	[1D 2A 3C]	3	11
14	123456949	101	20	38	21	0	0	0	0	0	0	0	0	46	0	6	8	22	15	3	0	0	3	0	0	0	50	33	[1D 2A 3C]	3	11
15	123456949	82	26	29	23	7	3	6	4	0	0	0	0	46	0	6	8	31	17	3	1	0	3	0	0	0	50	36	[1D 2A 3C 3D]	4	11
16	123456949	72	30	32	26	7	2	7	4	0	0	0	0	46	0	6	8	31	19	3	1	0	3	0	0	0	50	37	[1D 2A 3C 3D]	4	12
17	123456949	52	30	31	27	7	2	6	5	0	0	0	0	57	3	11	9	31	19	4	1	0	4	0	0	0	50	38	[1D 2A 3C 3D 1C]	5	11
18	123456949	40	31	36	33	7	0	7	6	0	0	0	0	57	1	11	11	31	19	4	1	0	4	0	0	0	50	38	[1D 2A 3C 3D 1C]	5	12
19	123456949	35	26	43	36	7	0	5	8	0	0	0	0	57	1	10	12	31	19	4	1	0	4	0	0	0	50	38	[1D 2A 3C 3D 1C]	5	12
20	123456949	35	18	49	38	7	0	4	9	0	0	0	0	57	1	7	15	31	19	4	1	0	4	0	0	0	50	38	[1D 2A 3C 3D 1C]	5	11
21	123456949	63	9	36	52	7	0	2	11	0	0	0	0	28	3	15	14	31	20	5	1	0	5	0	0	0	50	39	[3C 3D 1C 3B]	4	9
22	123456949	48	12	20	40	15	3	5	17	0	0	0	0	29	3	19	29	38	20	6	2	0	6	0	0	0	50	40	[3C 3D 1C 3B 2B 2C]	6	9
23	123456949	34	12	15	39	15	2	6	17	0	0	0	0	42	3	20	35	38	20	7	2	0	7	0	0	0	50	40	[3C 3D 1C 3B 2B 2C 2A]	7	10
24	123456949	45	15	17	43	15	2	6	17	0	0	0	0	25	3	18	34	38	20	7	2	0	7	0	0	0	50	42	[3D 1C 3B 2B 2C 2A]	6	10
25	123456949	41	16	19	44	15	1	6	18	0	0	0	0	25	2	14	39	38	21	7	2	0	7	0	0	0	50	42	[3D 1C 3B 2B 2C 2A]	6	9
26	123456949	39	11	22	48	15	1	5	19	0	0	0	0	25	1	11	43	38	21	7	2	0	7	0	0	0	50	42	[3D 1C 3B 2B 2C 2A]	6	9
27	123456949	39	8	23	50	15	1	3	21	0	0	0	0	25	1	9	45	38	21	7	2	0	7	0	0	0	50	42	[3D 1C 3B 2B 2C 2A]	6	10
28	123456949	39	6	25	50	15	1	3	21	0	0	0	0	25	1	9	45	38	21	7	2	0	7	0	0	0	50	42	[3D 1C 3B 2B 2C 2A]	6	10
29	123456949	40	4	22	54	10	1	8	21	0	0	0	0	25	1	6	48	45	21	7	3	0	7	0	0	0	50	42	[1C 3B 2B 2C 2A 3A]	6	10
30	123456949	36	7	19	58	10	1	7	22	0	0	0	0	25	1	5	49	45	22	7	3	0	7	0	0	0	50	42	[1C 3B 2B 2C 2A 3A]	6	10
31	123456949	39	12	19	70	10	0	6	24	0	0	0	0	14	0	4	42	45	23	7	3	0	7	0	0	0	50	44	[3B 2B 2C 2A 3A]	5	9
32	123456949	36	10	17	77	10	0	6	24	0	0	0	0	14	0	2	44	45	23	7	3	0	7	0	0	0	50	44	[3B 2B 2C 2A 3A]	5	9
33	123456949	35	6	19	80	10	0	5	25	0	0	0	0	14	0	2	44	45	23	7	3	0	7	0	0	0	50	44	[3B 2B 2C 2A 3A]	5	10
34	123456949	26	2	18	74	10	0	4	26	0	0	0	0	22	2	5	51	45	23	8	3	0	8	0	0	0	50	45	[3B 2B 2C 2A 3A 3C]	6	10
35	123456949	26	2	14	98	10	0	3	27	0	0	0	0	22	2	3	33	45	23	8	3	0	8	0	0	0	50	45	[2B 2C 2A 3A 3C]	5	8
