day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456853	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456853	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	4	[]	0	0
2	123456853	232	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	6	[]	0	1
3	123456853	229	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	8	[]	0	3
4	123456853	222	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	10	[]	0	4
5	123456853	214	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	14	[]	0	5
6	123456853	210	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	0	0	0	50	18	[]	0	7
7	123456853	209	12	18	1	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	19	[]	0	6
8	123456853	197	22	18	3	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	0	0	0	50	21	[]	0	6
9	123456853	131	5	1	3	52	12	16	0	12	2	3	3	0	0	0	0	115	8	0	7	1	0	0	0	0	50	22	[3D 1A 2C 2D 3A]	5	6
10	123456853	131	4	2	3	52	8	16	4	12	2	2	4	0	0	0	0	115	8	0	7	1	0	0	0	0	50	22	[3D 1A 2C 2D 3A]	5	6
11	123456853	127	7	3	3	52	5	18	5	12	1	3	4	0	0	0	0	115	9	0	7	1	0	0	0	0	50	23	[3D 1A 2C 2D 3A]	5	7
12	123456853	125	7	4	4	52	4	19	5	12	1	3	4	0	0	0	0	115	10	0	7	1	0	0	0	0	50	24	[3D 1A 2C 2D 3A]	5	8
13	123456853	124	6	6	4	52	3	19	6	12	1	3	4	0	0	0	0	115	10	0	7	1	0	0	0	0	50	25	[3D 1A 2C 2D 3A]	5	9
14	123456853	122	7	5	6	52	2	18	8	12	1	3	4	0	0	0	0	115	10	0	7	1	0	0	0	0	50	27	[3D 1A 2C 2D 3A]	5	8
15	123456853	118	9	6	7	52	2	15	11	12	0	3	5	0	0	0	0	115	10	0	7	1	0	0	0	0	50	28	[3D 1A 2C 2D 3A]	5	9
16	123456853	81	8	3	8	83	6	19	12	12	0	3	5	0	0	0	0	150	10	0	9	1	0	0	0	0	50	32	[3D 1A 2C 2D 3A 1B 3C]	7	9
17	123456853	78	9	5	8	83	2	20	15	12	0	3	5	0	0	0	0	150	10	0	9	1	0	0	0	0	50	32	[3D 1A 2C 2D 3A 1B 3C]	7	10
18	123456853	71	12	8	9	83	2	20	15	12	0	1	7	0	0	0	0	150	10	0	9	1	0	0	0	0	50	35	[3D 1A 2C 2D 3A 1B 3C]	7	11
19	123456853	64	18	8	10	83	2	18	17	12	0	1	7	0	0	0	0	150	10	0	9	1	0	0	0	0	50	35	[3D 1A 2C 2D 3A 1B 3C]	7	10
20	123456853	63	14	13	10	83	2	16	19	12	0	1	7	0	0	0	0	150	10	0	9	1	0	0	0	0	50	36	[3D 1A 2C 2D 3A 1B 3C]	7	11
21	123456853	63	12	13	12	83	2	15	20	12	0	1	7	0	0	0	0	150	10	0	9	1	0	0	0	0	50	36	[3D 1A 2C 2D 3A 1B 3C]	7	11
22	123456853	53	20	15	12	83	2	12	23	12	0	1	7	0	0	0	0	150	10	0	9	1	0	0	0	0	50	36	[3D 1A 2C 2D 3A 1B 3C]	7	11
23	123456853	91	5	3	41	54	11	22	13	0	0	0	0	0	0	0	0	200	11	0	15	1	0	0	0	0	50	37	[1B 3C 1C 1D 3B]	5	6
24	123456853	89	7	2	42	54	7	23	16	0	0	0	0	0	0	0	0	200	11	0	15	1	0	0	0	0	50	39	[1B 3C 1C 1D 3B]	5	6
25	123456853	86	8	4	42	54	3	21	22	0	0	0	0	0	0	0	0	200	12	0	15	1	0	0	0	0	50	40	[1B 3C 1C 1D 3B]	5	6
26	123456853	82	10	5	43	54	1	22	23	0	0	0	0	0	0	0	0	200	13	0	15	1	0	0	0	0	50	42	[1B 3C 1C 1D 3B]	5	7
27	123456853	81	9	7	43	54	1	16	29	0	0	0	0	0	0	0	0	200	13	0	15	1	0	0	0	0	50	43	[1B 3C 1C 1D 3B]	5	8
28	123456853	80	6	9	45	54	1	12	33	0	0	0	0	0	0	0	0	200	14	0	15	1	0	0	0	0	50	44	[1B 3C 1C 1D 3B]	5	9
29	123456853	78	6	8	48	54	1	10	35	0	0	0	0	0	0	0	0	200	15	0	15	1	0	0	0	0	50	44	[1B 3C 1C 1D 3B]	5	9
30	123456853	83	4	4	49	48	1	8	43	0	0	0	0	0	0	0	0	245	17	0	17	1	0	0	0	0	50	45	[1C 1D 3B 2A 2D]	5	7
31	123456853	77	7	7	49	48	0	7	45	0	0	0	0	0	0	0	0	245	17	0	17	1	0	0	0	0	50	47	[1C 1D 3B 2A 2D]	5	8
32	123456853	65	7	5	43	48	0	6	46	9	0	3	8	0	0	0	0	245	19	0	17	2	0	0	0	0	50	47	[1C 1D 3B 2A 2D 3D]	6	9
33	123456853	62	9	5	44	48	0	4	48	9	0	3	8	0	0	0	0	245	19	0	17	2	0	0	0	0	50	49	[1C 1D 3B 2A 2D 3D]	6	8
34	123456853	61	8	5	46	48	0	4	48	9	0	3	8	0	0	0	0	245	20	0	17	2	0	0	0	0	50	50	[1C 1D 3B 2A 2D 3D]	6	8
35	123456853	61	4	8	47	48	0	4	48	9	0	3	8	0	0	0	0	245	20	0	17	2	0	0	0	0	50	50	[1C 1D 3B 2A 2D 3D]	6	10
