day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456838	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456838	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	[]	0	0
2	123456838	235	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	5	[]	0	0
3	123456838	231	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	8	[]	0	2
4	123456838	223	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	13	[]	0	2
5	123456838	211	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	19	[]	0	5
6	123456838	208	20	11	1	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	22	[]	0	6
7	123456838	208	14	15	3	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	22	[]	0	10
8	123456838	198	17	20	5	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	50	23	[]	0	9
9	123456838	180	30	22	8	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	50	24	[]	0	9
10	123456838	146	25	21	8	25	3	8	4	0	0	0	0	0	0	0	0	24	7	0	2	0	0	0	0	0	50	28	[1B 2C]	2	8
11	123456838	129	35	24	12	25	3	8	4	0	0	0	0	0	0	0	0	24	8	0	2	0	0	0	0	0	50	30	[1B 2C]	2	9
12	123456838	120	37	30	13	25	2	9	4	0	0	0	0	0	0	0	0	24	8	0	2	0	0	0	0	0	50	31	[1B 2C]	2	10
13	123456838	117	25	26	12	25	2	8	5	2	5	8	5	0	0	0	0	24	9	0	2	1	0	0	0	0	50	32	[1B 2C 2B]	3	10
14	123456838	103	19	25	13	25	1	7	7	2	4	7	7	13	2	3	2	24	9	1	2	1	1	0	0	0	50	33	[1B 2C 2B 3D]	4	10
15	123456838	95	19	30	16	25	1	6	8	2	2	9	7	13	2	2	3	24	9	1	2	1	1	0	0	0	50	34	[1B 2C 2B 3D]	4	10
16	123456838	83	26	34	17	25	1	6	8	2	2	9	7	13	2	2	3	24	9	1	2	1	1	0	0	0	50	35	[1B 2C 2B 3D]	4	11
17	123456838	50	13	13	4	40	6	15	19	2	2	6	10	29	8	12	11	30	9	3	4	1	3	0	0	0	50	35	[1B 2C 2B 3D 3A 1A 1D 3B]	8	11
18	123456838	47	13	16	4	40	4	15	21	2	2	6	10	29	5	13	13	30	10	3	4	1	3	0	0	0	50	35	[1B 2C 2B 3D 3A 1A 1D 3B]	8	11
19	123456838	42	14	18	6	40	4	13	23	2	2	6	10	29	4	11	16	30	10	3	4	1	3	0	0	0	50	35	[1B 2C 2B 3D 3A 1A 1D 3B]	8	12
20	123456838	42	13	15	10	40	1	16	23	2	1	7	10	29	3	11	17	30	10	3	4	1	3	0	0	0	50	35	[1B 2C 2B 3D 3A 1A 1D 3B]	8	11
21	123456838	42	9	18	11	40	1	16	23	2	1	6	11	29	3	9	19	30	10	3	4	1	3	0	0	0	50	35	[1B 2C 2B 3D 3A 1A 1D 3B]	8	11
22	123456838	35	13	19	13	40	1	13	26	2	0	7	11	29	3	8	20	30	10	3	4	1	3	0	0	0	50	36	[1B 2C 2B 3D 3A 1A 1D 3B]	8	11
23	123456838	29	14	21	16	40	1	12	27	2	0	6	12	29	2	9	20	30	10	3	4	1	3	0	0	0	50	36	[1B 2C 2B 3D 3A 1A 1D 3B]	8	12
24	123456838	48	16	23	33	15	0	11	14	2	0	4	14	29	2	9	20	36	10	3	4	1	3	0	0	0	50	37	[2B 3D 3A 1A 1D 3B]	6	10
25	123456838	42	17	25	36	15	0	8	17	2	0	3	15	29	0	11	20	36	10	3	4	1	3	0	0	0	50	38	[2B 3D 3A 1A 1D 3B]	6	10
26	123456838	37	19	22	42	15	0	6	19	2	0	2	16	29	0	9	22	36	10	3	4	1	3	0	0	0	50	38	[2B 3D 3A 1A 1D 3B]	6	10
27	123456838	39	12	27	62	15	0	5	20	0	0	0	0	29	0	8	23	36	11	3	4	1	3	0	0	0	50	38	[3D 3A 1A 1D 3B]	5	10
28	123456838	51	7	31	71	15	0	4	21	0	0	0	0	16	0	6	18	36	13	3	4	1	3	0	0	0	50	39	[3A 1A 1D 3B]	4	9
29	123456838	46	11	27	76	15	0	4	21	0	0	0	0	16	0	5	19	36	13	3	4	1	3	0	0	0	50	40	[3A 1A 1D 3B]	4	8
30	123456838	42	10	28	80	15	0	3	22	0	0	0	0	16	0	4	20	36	15	3	4	1	3	0	0	0	50	40	[3A 1A 1D 3B]	4	8
31	123456838	67	5	10	118	6	3	16	15	0	0	0	0	0	0	0	0	48	15	3	6	1	3	0	0	0	50	40	[2A 2D]	2	5
32	123456838	66	4	11	119	6	3	14	17	0	0	0	0	0	0	0	0	48	15	3	6	1	3	0	0	0	50	40	[2A 2D]	2	5
33	123456838	63	4	3	110	6	3	12	19	0	0	0	0	1	0	9	10	48	15	4	6	1	4	0	0	0	50	41	[2A 2D 1C]	3	6
34	123456838	63	3	4	110	6	1	12	21	0	0	0	0	1	0	6	13	48	16	4	6	1	4	0	0	0	50	41	[2A 2D 1C]	3	6
35	123456838	52	1	1	86	6	1	9	24	1	0	1	18	10	0	9	21	48	17	5	6	2	5	0	0	0	50	42	[2A 2D 1C 2C 2B]	5	6
