day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456971	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456971	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	0	0	0	0	0	0	0	50	1	[]	0	0
2	123456971	230	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	0	50	7	[]	0	1
3	123456971	209	7	4	0	17	2	1	0	0	0	0	0	0	0	0	0	60	2	0	1	0	0	0	0	0	50	8	[3A]	1	2
4	123456971	207	5	8	0	17	1	2	0	0	0	0	0	0	0	0	0	60	2	0	1	0	0	0	0	0	50	9	[3A]	1	3
5	123456971	200	10	9	1	17	1	2	0	0	0	0	0	0	0	0	0	60	2	0	1	0	0	0	0	0	50	10	[3A]	1	4
6	123456971	179	7	12	2	17	1	2	0	0	0	0	0	19	0	1	0	60	3	1	1	0	1	0	0	0	50	12	[3A 1A]	2	6
7	123456971	177	6	15	2	17	0	3	0	0	0	0	0	19	0	1	0	60	3	1	1	0	1	0	0	0	50	14	[3A 1A]	2	7
8	123456971	110	5	4	1	81	2	13	4	0	0	0	0	19	0	1	0	90	3	1	5	0	1	0	0	0	50	14	[3A 1A 1B 1C 1D 2C]	6	8
9	123456971	104	10	5	1	81	1	11	7	0	0	0	0	19	0	1	0	90	3	1	5	0	1	0	0	0	50	15	[3A 1A 1B 1C 1D 2C]	6	8
10	123456971	100	12	6	2	81	1	11	7	0	0	0	0	19	0	1	0	102	3	1	5	0	1	0	0	0	50	15	[3A 1A 1B 1C 1D 2C]	6	8
11	123456971	92	17	9	2	81	0	12	7	0	0	0	0	19	0	1	0	102	3	1	5	0	1	0	0	0	50	16	[3A 1A 1B 1C 1D 2C]	6	10
12	123456971	70	16	10	4	81	0	10	9	16	1	3	0	19	0	1	0	102	5	1	5	1	1	0	0	0	50	16	[3A 1A 1B 1C 1D 2C 3D]	7	11
13	123456971	69	12	12	7	81	0	7	12	16	1	3	0	19	0	1	0	102	6	1	5	1	1	0	0	0	50	17	[3A 1A 1B 1C 1D 2C 3D]	7	11
14	123456971	67	12	12	9	81	0	6	13	16	1	3	0	19	0	1	0	102	6	1	5	1	1	0	0	0	50	19	[3A 1A 1B 1C 1D 2C 3D]	7	11
15	123456971	40	8	5	7	96	1	9	14	27	3	8	2	19	0	1	0	114	7	1	6	2	1	0	0	0	50	19	[3A 1A 1B 1C 1D 2C 3D 2D 3C]	9	11
16	123456971	37	10	5	8	96	1	8	15	27	2	6	5	19	0	0	1	114	8	1	6	2	1	0	0	0	50	21	[3A 1A 1B 1C 1D 2C 3D 2D 3C]	9	10
17	123456971	49	10	10	11	79	1	4	16	27	2	5	6	19	0	0	1	122	8	1	6	2	1	0	0	0	50	22	[1A 1B 1C 1D 2C 3D 2D 3C]	8	8
18	123456971	46	9	13	12	79	0	4	17	27	1	6	6	19	0	0	1	122	8	1	6	2	1	0	0	0	50	23	[1A 1B 1C 1D 2C 3D 2D 3C]	8	7
19	123456971	41	13	11	15	79	0	4	17	27	0	5	8	19	0	0	1	122	10	1	6	2	1	0	0	0	50	24	[1A 1B 1C 1D 2C 3D 2D 3C]	8	7
20	123456971	60	9	13	18	79	0	2	19	27	0	3	10	0	0	0	0	122	10	1	6	2	1	0	0	0	50	24	[1B 1C 1D 2C 3D 2D 3C]	7	7
21	123456971	58	10	13	19	79	0	2	19	27	0	3	10	0	0	0	0	122	10	1	6	2	1	0	0	0	50	26	[1B 1C 1D 2C 3D 2D 3C]	7	7
22	123456971	113	5	2	20	22	5	12	21	27	0	1	12	0	0	0	0	149	10	1	9	2	1	0	0	0	50	26	[3D 2D 3C 2B 3B]	5	5
23	123456971	112	6	2	20	22	3	13	22	27	0	1	12	0	0	0	0	149	10	1	9	2	1	0	0	0	50	27	[3D 2D 3C 2B 3B]	5	5
24	123456971	110	8	1	21	22	2	12	24	27	0	1	12	0	0	0	0	163	10	1	9	2	1	0	0	0	50	27	[3D 2D 3C 2B 3B]	5	4
25	123456971	109	8	2	21	22	2	9	27	27	0	1	12	0	0	0	0	163	10	1	9	2	1	0	0	0	50	28	[3D 2D 3C 2B 3B]	5	4
26	123456971	110	7	1	22	22	2	9	27	24	2	2	12	0	0	0	0	163	11	1	9	3	1	0	0	0	50	30	[2D 3C 2B 3B 3A]	5	4
27	123456971	107	8	3	22	22	2	9	27	24	1	3	12	0	0	0	0	163	11	1	9	3	1	0	0	0	50	33	[2D 3C 2B 3B 3A]	5	6
28	123456971	106	7	4	23	22	1	9	28	24	1	1	14	0	0	0	0	163	11	1	9	3	1	0	0	0	50	34	[2D 3C 2B 3B 3A]	5	6
29	123456971	128	11	4	37	7	0	10	23	13	1	1	5	0	0	0	0	190	12	1	9	3	1	0	0	0	50	35	[2B 3B 3A]	3	6
30	123456971	122	14	6	38	7	0	10	23	13	0	2	5	0	0	0	0	190	12	1	9	3	1	0	0	0	50	35	[2B 3B 3A]	3	9
31	123456971	105	11	8	36	21	1	12	26	13	0	2	5	0	0	0	0	208	12	1	10	3	1	0	0	0	50	35	[2B 3B 3A 1C]	4	9
32	123456971	94	19	11	36	21	1	10	28	13	0	2	5	0	0	0	0	208	12	1	10	3	1	0	0	0	50	35	[2B 3B 3A 1C]	4	9
33	123456971	85	23	15	37	21	1	9	29	13	0	2	5	0	0	0	0	208	12	1	10	3	1	0	0	0	50	36	[2B 3B 3A 1C]	4	10
34	123456971	84	16	21	39	21	0	9	30	13	0	2	5	0	0	0	0	208	12	1	10	3	1	0	0	0	50	37	[2B 3B 3A 1C]	4	11
35	123456971	84	12	21	43	21	0	7	32	13	0	2	5	0	0	0	0	208	12	1	10	3	1	0	0	0	50	37	[2B 3B 3A 1C]	4	10
