day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456808	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456808	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	1	[]	0	0
2	123456808	233	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	7	[]	0	0
3	123456808	230	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	8	[]	0	2
4	123456808	225	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	10	[]	0	3
5	123456808	216	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	12	[]	0	5
6	123456808	213	14	11	2	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	15	[]	0	5
7	123456808	194	14	9	3	0	0	0	0	0	0	0	0	15	2	3	0	12	4	1	0	0	1	0	0	0	50	19	[2B]	1	7
8	123456808	179	26	12	3	0	0	0	0	0	0	0	0	15	1	4	0	12	5	1	0	0	1	0	0	0	50	21	[2B]	1	9
9	123456808	158	25	12	5	11	4	3	2	0	0	0	0	15	1	4	0	23	6	1	1	0	1	0	0	0	50	21	[2B 1A]	2	8
10	123456808	151	26	16	7	11	1	6	2	0	0	0	0	15	1	4	0	23	9	1	1	0	1	0	0	0	50	23	[2B 1A]	2	9
11	123456808	120	21	13	6	11	1	6	2	25	4	8	3	15	1	4	0	23	12	1	1	2	1	0	0	0	50	23	[2B 1A 2C 3D]	4	10
12	123456808	110	28	14	8	11	1	5	3	25	4	8	3	15	0	4	1	23	13	1	1	2	1	0	0	0	50	24	[2B 1A 2C 3D]	4	10
13	123456808	109	22	20	9	11	1	5	3	25	4	5	6	15	0	3	2	23	13	1	1	2	1	0	0	0	50	25	[2B 1A 2C 3D]	4	10
14	123456808	92	19	17	12	11	1	2	6	40	5	9	6	15	0	3	2	23	14	1	1	3	1	0	0	0	50	27	[2B 1A 2C 3D 3C]	5	11
15	123456808	80	27	19	14	11	1	1	7	40	5	7	8	15	0	1	4	23	14	1	1	3	1	0	0	0	50	29	[2B 1A 2C 3D 3C]	5	11
16	123456808	69	22	18	11	16	4	7	13	40	4	6	10	15	0	0	5	30	15	1	2	3	1	0	0	0	50	29	[2B 1A 2C 3D 3C 1D]	6	10
17	123456808	58	19	14	9	16	4	4	16	46	5	16	13	15	0	0	5	30	17	1	2	4	1	0	0	0	50	29	[2B 1A 2C 3D 3C 1D 3A]	7	10
