day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456895	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456895	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	3	[]	0	0
2	123456895	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	4	[]	0	1
3	123456895	194	5	1	0	37	1	2	0	0	0	0	0	0	0	0	0	24	3	0	2	0	0	0	0	0	50	5	[1D 2B]	2	3
4	123456895	189	8	3	0	37	0	3	0	0	0	0	0	0	0	0	0	24	4	0	2	0	0	0	0	0	50	9	[1D 2B]	2	4
5	123456895	182	12	5	1	37	0	3	0	0	0	0	0	0	0	0	0	34	4	0	2	0	0	0	0	0	50	11	[1D 2B]	2	4
6	123456895	181	11	6	2	37	0	3	0	0	0	0	0	0	0	0	0	34	6	0	2	0	0	0	0	0	50	12	[1D 2B]	2	5
7	123456895	178	12	8	2	37	0	3	0	0	0	0	0	0	0	0	0	34	8	0	2	0	0	0	0	0	50	15	[1D 2B]	2	6
8	123456895	166	9	4	1	37	0	2	1	9	0	7	4	0	0	0	0	34	9	0	2	1	0	0	0	0	50	16	[1D 2B 1A]	3	7
9	123456895	164	10	4	2	37	0	2	1	9	0	5	6	0	0	0	0	34	10	0	2	1	0	0	0	0	50	16	[1D 2B 1A]	3	6
10	123456895	143	8	7	2	51	2	6	1	9	0	5	6	0	0	0	0	43	10	0	3	1	0	0	0	0	50	19	[1D 2B 1A 1C]	4	9
11	123456895	137	12	9	2	51	2	5	2	9	0	5	6	0	0	0	0	43	11	0	3	1	0	0	0	0	50	20	[1D 2B 1A 1C]	4	9
12	123456895	134	11	12	3	51	2	5	2	9	0	5	6	0	0	0	0	51	12	0	3	1	0	0	0	0	50	21	[1D 2B 1A 1C]	4	9
13	123456895	133	11	10	6	51	1	5	3	9	0	5	6	0	0	0	0	51	13	0	3	1	0	0	0	0	50	22	[1D 2B 1A 1C]	4	8
14	123456895	133	10	11	6	51	1	5	3	9	0	5	6	0	0	0	0	51	13	0	3	1	0	0	0	0	50	22	[1D 2B 1A 1C]	4	8
15	123456895	126	16	11	7	51	0	6	3	9	0	4	7	0	0	0	0	51	13	0	3	1	0	0	0	0	50	24	[1D 2B 1A 1C]	4	8
16	123456895	118	18	15	9	51	0	6	3	9	0	2	9	0	0	0	0	51	13	0	3	1	0	0	0	0	50	25	[1D 2B 1A 1C]	4	11
17	123456895	146	22	19	13	14	0	4	2	9	0	2	9	0	0	0	0	61	13	0	3	1	0	0	0	0	50	25	[1A 1C]	2	9
18	123456895	133	32	20	15	14	0	4	2	9	0	2	9	0	0	0	0	61	13	0	3	1	0	0	0	0	50	25	[1A 1C]	2	9
19	123456895	115	27	21	17	23	3	8	6	9	0	2	9	0	0	0	0	71	15	0	4	1	0	0	0	0	50	28	[1A 1C 2C]	3	10
20	123456895	112	21	26	21	23	3	5	9	9	0	2	9	0	0	0	0	71	16	0	4	1	0	0	0	0	50	31	[1A 1C 2C]	3	11
