day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456811	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456811	235	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	5	[]	0	0
2	123456811	235	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	5	[]	0	0
3	123456811	231	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	9	[]	0	1
4	123456811	227	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	10	[]	0	2
5	123456811	192	8	0	0	33	2	5	0	0	0	0	0	0	0	0	0	240	3	0	5	0	0	0	0	0	50	12	[1B 2B]	2	2
6	123456811	191	7	2	0	33	0	7	0	0	0	0	0	0	0	0	0	240	3	0	5	0	0	0	0	0	50	13	[1B 2B]	2	4
7	123456811	191	6	3	0	33	0	6	1	0	0	0	0	0	0	0	0	240	4	0	5	0	0	0	0	0	50	13	[1B 2B]	2	4
8	123456811	167	10	3	0	33	0	5	2	0	0	0	0	19	0	1	0	240	4	1	5	0	1	0	0	0	50	15	[1B 2B 3A]	3	5
9	123456811	160	13	7	0	33	0	3	4	0	0	0	0	19	0	1	0	240	4	1	5	0	1	0	0	0	50	16	[1B 2B 3A]	3	8
10	123456811	156	15	9	0	33	0	3	4	0	0	0	0	19	0	1	0	240	6	1	5	0	1	0	0	0	50	16	[1B 2B 3A]	3	8
11	123456811	150	19	10	1	33	0	3	4	0	0	0	0	19	0	1	0	240	7	1	5	0	1	0	0	0	50	16	[1B 2B 3A]	3	8
12	123456811	56	3	0	1	117	6	11	6	10	2	7	1	19	0	1	0	400	8	1	14	1	1	0	0	0	50	16	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	9
13	123456811	56	3	0	1	117	5	10	8	10	1	8	1	19	0	1	0	400	8	1	14	1	1	0	0	0	50	16	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	8
14	123456811	56	1	2	1	117	3	12	8	10	1	7	2	19	0	1	0	400	8	1	14	1	1	0	0	0	50	16	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	10
15	123456811	56	1	2	1	117	2	12	9	10	1	6	3	19	0	1	0	400	10	1	14	1	1	0	0	0	50	16	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	10
16	123456811	54	2	3	1	117	1	10	12	10	0	5	5	19	0	1	0	400	10	1	14	1	1	0	0	0	50	17	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	10
17	123456811	51	5	3	1	117	1	9	13	10	0	5	5	19	0	1	0	400	10	1	14	1	1	0	0	0	50	17	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	10
18	123456811	48	8	3	1	117	1	6	16	10	0	5	5	19	0	1	0	400	10	1	14	1	1	0	0	0	50	18	[1B 2B 3A 1A 1D 2A 2D 3C 3D]	9	9
19	123456811	47	5	0	8	115	4	9	12	10	0	5	5	19	0	1	0	500	10	1	18	1	1	0	0	0	50	21	[3A 1A 1D 2A 2D 3C 3D 2C 3B]	9	7
20	123456811	47	5	0	8	115	4	7	14	10	0	4	6	19	0	1	0	500	10	1	18	1	1	0	0	0	50	21	[3A 1A 1D 2A 2D 3C 3D 2C 3B]	9	6
21	123456811	47	4	1	8	115	2	7	16	10	0	3	7	19	0	1	0	500	10	1	18	1	1	0	0	0	50	21	[3A 1A 1D 2A 2D 3C 3D 2C 3B]	9	7
22	123456811	62	5	4	9	115	0	8	17	10	0	3	7	0	0	0	0	500	10	1	18	1	1	0	0	0	50	22	[1A 1D 2A 2D 3C 3D 2C 3B]	8	6
23	123456811	56	10	5	9	115	0	8	17	10	0	2	8	0	0	0	0	500	10	1	18	1	1	0	0	0	50	25	[1A 1D 2A 2D 3C 3D 2C 3B]	8	6
24	123456811	52	9	9	10	115	0	8	17	10	0	2	8	0	0	0	0	500	10	1	18	1	1	0	0	0	50	25	[1A 1D 2A 2D 3C 3D 2C 3B]	8	8
25	123456811	32	10	10	8	115	0	8	17	10	0	1	9	13	3	1	3	500	10	2	18	1	2	0	0	0	50	26	[1A 1D 2A 2D 3C 3D 2C 3B 1B]	9	8
26	123456811	93	1	0	26	62	8	17	13	0	0	0	0	13	2	2	3	680	11	2	30	1	2	0	0	0	50	28	[2C 3B 1B 1C 2B 3A]	6	5
27	123456811	92	1	1	26	62	6	17	15	0	0	0	0	13	0	3	4	680	11	2	30	1	2	0	0	0	50	29	[2C 3B 1B 1C 2B 3A]	6	6
28	123456811	91	1	2	26	62	5	15	18	0	0	0	0	13	0	3	4	680	11	2	30	1	2	0	0	0	50	30	[2C 3B 1B 1C 2B 3A]	6	7
29	123456811	87	5	2	26	62	4	15	19	0	0	0	0	13	0	2	5	680	11	2	30	1	2	0	0	0	50	32	[2C 3B 1B 1C 2B 3A]	6	7
30	123456811	83	7	4	26	62	4	10	24	0	0	0	0	13	0	2	5	680	11	2	30	1	2	0	0	0	50	32	[2C 3B 1B 1C 2B 3A]	6	7
31	123456811	81	7	6	26	62	0	12	26	0	0	0	0	13	0	2	5	680	11	2	30	1	2	0	0	0	50	33	[2C 3B 1B 1C 2B 3A]	6	7
32	123456811	81	6	6	27	62	0	11	27	0	0	0	0	13	0	1	6	680	12	2	30	1	2	0	0	0	50	33	[2C 3B 1B 1C 2B 3A]	6	7
33	123456811	91	1	0	28	51	3	14	32	0	0	0	0	13	0	1	6	840	12	2	37	1	2	0	0	0	50	34	[1B 1C 2B 3A 2A 2D]	6	6
34	123456811	91	1	0	28	51	2	14	33	0	0	0	0	13	0	1	6	840	12	2	37	1	2	0	0	0	50	34	[1B 1C 2B 3A 2A 2D]	6	6
35	123456811	91	1	0	28	51	2	11	36	0	0	0	0	13	0	1	6	840	12	2	37	1	2	0	0	0	50	34	[1B 1C 2B 3A 2A 2D]	6	6
