day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456841	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456841	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	50	3	[]	0	0
2	123456841	218	1	1	0	0	0	0	0	0	0	0	0	18	0	2	0	240	1	1	0	0	1	0	0	0	50	4	[3D]	1	2
3	123456841	212	7	1	0	0	0	0	0	0	0	0	0	18	0	1	1	240	1	1	0	0	1	0	0	0	50	7	[3D]	1	2
4	123456841	210	8	1	1	0	0	0	0	0	0	0	0	18	0	1	1	240	1	1	0	0	1	0	0	0	50	8	[3D]	1	2
5	123456841	205	11	3	1	0	0	0	0	0	0	0	0	18	0	1	1	240	1	1	0	0	1	0	0	0	50	10	[3D]	1	4
6	123456841	202	14	2	2	0	0	0	0	0	0	0	0	18	0	1	1	240	1	1	0	0	1	0	0	0	50	13	[3D]	1	3
7	123456841	199	11	8	2	0	0	0	0	0	0	0	0	18	0	1	1	240	3	1	0	0	1	0	0	0	50	16	[3D]	1	7
8	123456841	77	2	0	1	121	7	10	2	0	0	0	0	18	0	1	1	460	5	1	10	0	1	0	0	0	50	17	[3D 1B 1D 2A 2B 3A 3B 3C]	8	8
9	123456841	76	3	0	1	121	1	15	3	0	0	0	0	18	0	1	1	460	5	1	10	0	1	0	0	0	50	18	[3D 1B 1D 2A 2B 3A 3B 3C]	8	8
10	123456841	74	5	0	1	121	1	13	5	0	0	0	0	18	0	0	2	460	5	1	10	0	1	0	0	0	50	20	[3D 1B 1D 2A 2B 3A 3B 3C]	8	6
11	123456841	73	5	1	1	121	1	12	6	0	0	0	0	18	0	0	2	460	6	1	10	0	1	0	0	0	50	20	[3D 1B 1D 2A 2B 3A 3B 3C]	8	7
12	123456841	73	5	0	2	121	1	10	8	0	0	0	0	18	0	0	2	460	6	1	10	0	1	0	0	0	50	20	[3D 1B 1D 2A 2B 3A 3B 3C]	8	6
13	123456841	73	3	2	2	121	1	9	9	0	0	0	0	18	0	0	2	460	6	1	10	0	1	0	0	0	50	20	[3D 1B 1D 2A 2B 3A 3B 3C]	8	7
14	123456841	72	4	2	2	121	1	7	11	0	0	0	0	18	0	0	2	460	6	1	10	0	1	0	0	0	50	21	[3D 1B 1D 2A 2B 3A 3B 3C]	8	7
15	123456841	58	2	0	0	134	4	9	13	0	0	0	0	18	0	0	2	540	6	1	12	0	1	0	0	0	50	22	[3D 1B 1D 2A 2B 3A 3B 3C 1C]	9	7
16	123456841	73	5	0	2	134	1	11	14	0	0	0	0	0	0	0	0	540	6	1	12	0	1	0	0	0	50	25	[1B 1D 2A 2B 3A 3B 3C 1C]	8	8
17	123456841	71	6	1	2	134	1	10	15	0	0	0	0	0	0	0	0	540	7	1	12	0	1	0	0	0	50	27	[1B 1D 2A 2B 3A 3B 3C 1C]	8	8
18	123456841	68	9	0	3	134	1	9	16	0	0	0	0	0	0	0	0	540	7	1	12	0	1	0	0	0	50	30	[1B 1D 2A 2B 3A 3B 3C 1C]	8	7
19	123456841	52	3	2	3	134	1	9	16	0	0	0	0	16	2	2	0	540	7	2	12	0	2	0	0	0	50	30	[1B 1D 2A 2B 3A 3B 3C 1C 1A]	9	10
20	123456841	52	3	2	3	134	0	9	17	0	0	0	0	16	2	2	0	540	7	2	12	0	2	0	0	0	50	30	[1B 1D 2A 2B 3A 3B 3C 1C 1A]	9	9
21	123456841	52	2	3	3	134	0	6	20	0	0	0	0	16	2	2	0	540	7	2	12	0	2	0	0	0	50	30	[1B 1D 2A 2B 3A 3B 3C 1C 1A]	9	8
22	123456841	119	2	0	19	46	2	5	7	0	0	0	0	34	1	5	0	720	7	3	14	0	3	0	0	0	50	33	[1C 1A 2D 2C 3D]	5	5
23	123456841	118	3	0	19	46	1	6	7	0	0	0	0	34	0	5	1	720	7	3	14	0	3	0	0	0	50	34	[1C 1A 2D 2C 3D]	5	5
24	123456841	115	4	2	19	46	1	6	7	0	0	0	0	34	0	5	1	720	7	3	14	0	3	0	0	0	50	36	[1C 1A 2D 2C 3D]	5	7
25	123456841	113	4	3	20	46	1	6	7	0	0	0	0	34	0	5	1	720	7	3	14	0	3	0	0	0	50	36	[1C 1A 2D 2C 3D]	5	8
26	123456841	113	3	3	21	46	1	6	7	0	0	0	0	34	0	5	1	720	7	3	14	0	3	0	0	0	50	36	[1C 1A 2D 2C 3D]	5	8
