day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456830	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456830	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	3	[]	0	0
2	123456830	214	6	0	0	19	0	1	0	0	0	0	0	0	0	0	0	120	1	0	1	0	0	0	0	0	50	7	[2B]	1	1
3	123456830	211	7	2	0	19	0	1	0	0	0	0	0	0	0	0	0	120	1	0	1	0	0	0	0	0	50	9	[2B]	1	3
4	123456830	211	5	2	2	19	0	1	0	0	0	0	0	0	0	0	0	120	1	0	1	0	0	0	0	0	50	9	[2B]	1	3
5	123456830	210	6	2	2	19	0	0	1	0	0	0	0	0	0	0	0	120	3	0	1	0	0	0	0	0	50	10	[2B]	1	2
6	123456830	208	8	2	2	19	0	0	1	0	0	0	0	0	0	0	0	120	3	0	1	0	0	0	0	0	50	12	[2B]	1	2
7	123456830	207	7	4	2	19	0	0	1	0	0	0	0	0	0	0	0	120	5	0	1	0	0	0	0	0	50	13	[2B]	1	3
8	123456830	199	14	4	3	19	0	0	1	0	0	0	0	0	0	0	0	120	6	0	1	0	0	0	0	0	50	16	[2B]	1	4
9	123456830	160	14	4	2	52	3	3	2	0	0	0	0	0	0	0	0	230	8	0	3	0	0	0	0	0	50	20	[2B 2C 3C]	3	5
10	123456830	152	20	6	2	52	1	4	3	0	0	0	0	0	0	0	0	230	8	0	3	0	0	0	0	0	50	23	[2B 2C 3C]	3	5
11	123456830	151	17	9	3	52	0	5	3	0	0	0	0	0	0	0	0	230	8	0	3	0	0	0	0	0	50	24	[2B 2C 3C]	3	7
12	123456830	140	25	11	4	52	0	3	5	0	0	0	0	0	0	0	0	230	9	0	3	0	0	0	0	0	50	26	[2B 2C 3C]	3	6
13	123456830	134	27	13	6	52	0	3	5	0	0	0	0	0	0	0	0	230	10	0	3	0	0	0	0	0	50	32	[2B 2C 3C]	3	7
14	123456830	134	18	21	7	52	0	3	5	0	0	0	0	0	0	0	0	230	10	0	3	0	0	0	0	0	50	32	[2B 2C 3C]	3	8
15	123456830	125	23	23	9	52	0	2	6	0	0	0	0	0	0	0	0	230	11	0	3	0	0	0	0	0	50	32	[2B 2C 3C]	3	7
16	123456830	71	6	1	2	92	12	21	15	12	1	4	3	0	0	0	0	320	12	0	16	1	0	0	0	0	50	34	[2C 3C 2A 1A 1D 2D 3B 3D]	8	8
17	123456830	68	7	3	2	92	11	22	15	12	1	4	3	0	0	0	0	320	14	0	16	1	0	0	0	0	50	35	[2C 3C 2A 1A 1D 2D 3B 3D]	8	10
